@RELATION UP_DOWN
@ATTRIBUTE  class {UP,DOWN}
@ATTRIBUTE 0.0 numeric
@ATTRIBUTE 6.75675675676 numeric
@ATTRIBUTE 13.5135135135 numeric
@ATTRIBUTE 20.2702702703 numeric
@ATTRIBUTE 27.027027027 numeric
@ATTRIBUTE 33.7837837838 numeric
@ATTRIBUTE 40.5405405405 numeric
@ATTRIBUTE 47.2972972973 numeric
@ATTRIBUTE 54.0540540541 numeric
@ATTRIBUTE 60.8108108108 numeric
@ATTRIBUTE 67.5675675676 numeric
@ATTRIBUTE 74.3243243243 numeric
@ATTRIBUTE 81.0810810811 numeric
@ATTRIBUTE 87.8378378378 numeric
@ATTRIBUTE 94.5945945946 numeric
@ATTRIBUTE 101.351351351 numeric
@ATTRIBUTE 108.108108108 numeric
@ATTRIBUTE 114.864864865 numeric
@ATTRIBUTE 121.621621622 numeric
@ATTRIBUTE 128.378378378 numeric
@ATTRIBUTE 135.135135135 numeric
@ATTRIBUTE 141.891891892 numeric
@ATTRIBUTE 148.648648649 numeric
@ATTRIBUTE 155.405405405 numeric
@ATTRIBUTE 162.162162162 numeric
@ATTRIBUTE 168.918918919 numeric
@ATTRIBUTE 175.675675676 numeric
@ATTRIBUTE 182.432432432 numeric
@ATTRIBUTE 189.189189189 numeric
@ATTRIBUTE 195.945945946 numeric
@ATTRIBUTE 202.702702703 numeric
@ATTRIBUTE 209.459459459 numeric
@ATTRIBUTE 216.216216216 numeric
@ATTRIBUTE 222.972972973 numeric
@ATTRIBUTE 229.72972973 numeric
@ATTRIBUTE 236.486486486 numeric
@ATTRIBUTE 243.243243243 numeric
@ATTRIBUTE 250.0 numeric
@ATTRIBUTE 256.756756757 numeric
@ATTRIBUTE 263.513513514 numeric
@ATTRIBUTE 270.27027027 numeric
@ATTRIBUTE 277.027027027 numeric
@ATTRIBUTE 283.783783784 numeric
@ATTRIBUTE 290.540540541 numeric
@ATTRIBUTE 297.297297297 numeric
@ATTRIBUTE 304.054054054 numeric
@ATTRIBUTE 310.810810811 numeric
@ATTRIBUTE 317.567567568 numeric
@ATTRIBUTE 324.324324324 numeric
@ATTRIBUTE 331.081081081 numeric
@ATTRIBUTE 337.837837838 numeric
@ATTRIBUTE 344.594594595 numeric
@ATTRIBUTE 351.351351351 numeric
@ATTRIBUTE 358.108108108 numeric
@ATTRIBUTE 364.864864865 numeric
@ATTRIBUTE 371.621621622 numeric
@ATTRIBUTE 378.378378378 numeric
@ATTRIBUTE 385.135135135 numeric
@ATTRIBUTE 391.891891892 numeric
@ATTRIBUTE 398.648648649 numeric
@ATTRIBUTE 405.405405405 numeric
@ATTRIBUTE 412.162162162 numeric
@ATTRIBUTE 418.918918919 numeric
@ATTRIBUTE 425.675675676 numeric
@ATTRIBUTE 432.432432432 numeric
@ATTRIBUTE 439.189189189 numeric
@ATTRIBUTE 445.945945946 numeric
@ATTRIBUTE 452.702702703 numeric
@ATTRIBUTE 459.459459459 numeric
@ATTRIBUTE 466.216216216 numeric
@ATTRIBUTE 472.972972973 numeric
@ATTRIBUTE 479.72972973 numeric
@ATTRIBUTE 486.486486486 numeric
@ATTRIBUTE 493.243243243 numeric
@DATA
DOWN ,     1.361,     2.171,     2.975,     2.913,     2.866,     2.858,     2.230,     1.443,     1.127,     0.948,     1.195,     1.261,     1.226,     0.822,     0.550,     0.038,     0.155,     0.111,     0.267,     0.380,     0.193,     0.176,     0.149,     0.160,     0.081,     0.030,     0.086,     0.274,     0.258,     0.123,     0.151,     0.246,     0.330,     0.299,     0.223,     0.267,     0.241,     0.254,     0.113,     0.183,     0.104,     0.079,     0.071,     0.040,     0.111,     0.101,     0.116,     0.045,     0.074,     0.058,     0.033,     0.057,     0.032,     0.017,     0.081,     0.113,     0.055,     0.093,     0.094,     0.092,     0.062,     0.015,     0.080,     0.016,     0.013,     0.068,     0.065,     0.059,     0.064,     0.007,     0.026,     0.026,     0.109,     0.115
DOWN ,     1.429,     2.412,     3.696,     4.072,     4.085,     3.241,     2.208,     1.364,     0.911,     1.168,     1.274,     0.996,     0.719,     0.185,     0.237,     0.356,     0.298,     0.351,     0.725,     0.764,     0.830,     0.683,     0.698,     0.411,     0.570,     0.584,     0.645,     0.623,     0.421,     0.450,     0.369,     0.278,     0.320,     0.244,     0.281,     0.123,     0.140,     0.036,     0.024,     0.104,     0.058,     0.078,     0.104,     0.048,     0.056,     0.037,     0.057,     0.048,     0.063,     0.071,     0.091,     0.080,     0.030,     0.050,     0.051,     0.031,     0.038,     0.114,     0.109,     0.021,     0.074,     0.035,     0.101,     0.021,     0.050,     0.105,     0.071,     0.081,     0.063,     0.081,     0.150,     0.133,     0.093,     0.048
UP ,     0.869,     1.713,     1.728,     1.878,     0.975,     0.473,     0.190,     1.054,     0.700,     0.219,     0.509,     0.327,     0.311,     0.074,     0.265,     0.404,     0.489,     0.211,     0.129,     0.235,     0.093,     0.083,     0.167,     0.391,     0.243,     0.062,     0.039,     0.070,     0.291,     0.107,     0.097,     0.052,     0.074,     0.043,     0.034,     0.072,     0.090,     0.133,     0.029,     0.111,     0.122,     0.124,     0.164,     0.167,     0.117,     0.038,     0.157,     0.050,     0.052,     0.081,     0.061,     0.156,     0.215,     0.156,     0.198,     0.171,     0.096,     0.051,     0.088,     0.063,     0.125,     0.240,     0.144,     0.035,     0.111,     0.193,     0.143,     0.127,     0.196,     0.125,     0.246,     0.295,     0.263,     0.130
DOWN ,     0.849,     1.372,     2.271,     2.174,     2.184,     2.068,     2.269,     2.261,     2.136,     2.054,     1.652,     1.269,     1.108,     1.243,     1.308,     1.089,     1.108,     1.221,     1.176,     0.820,     0.706,     0.549,     0.549,     0.361,     0.185,     0.374,     0.489,     0.474,     0.419,     0.402,     0.294,     0.230,     0.129,     0.115,     0.234,     0.278,     0.204,     0.169,     0.192,     0.183,     0.213,     0.110,     0.112,     0.052,     0.048,     0.170,     0.096,     0.035,     0.018,     0.080,     0.171,     0.095,     0.075,     0.066,     0.103,     0.049,     0.065,     0.043,     0.026,     0.052,     0.019,     0.075,     0.069,     0.077,     0.015,     0.024,     0.093,     0.096,     0.106,     0.034,     0.023,     0.057,     0.049,     0.049
UP ,     1.048,     0.853,     1.314,     0.958,     1.925,     3.667,     2.622,     1.380,     0.652,     0.259,     0.818,     1.221,     0.894,     1.125,     0.485,     0.150,     0.499,     0.705,     0.500,     0.537,     0.418,     0.484,     0.178,     0.078,     0.243,     0.122,     0.051,     0.075,     0.007,     0.078,     0.186,     0.068,     0.092,     0.037,     0.107,     0.031,     0.074,     0.070,     0.106,     0.126,     0.048,     0.082,     0.026,     0.127,     0.105,     0.177,     0.138,     0.026,     0.103,     0.074,     0.172,     0.104,     0.222,     0.180,     0.156,     0.117,     0.057,     0.077,     0.117,     0.064,     0.214,     0.060,     0.128,     0.025,     0.148,     0.096,     0.103,     0.020,     0.073,     0.026,     0.125,     0.086,     0.150,     0.129
DOWN ,     1.535,     2.759,     3.324,     2.867,     3.571,     4.012,     2.808,     1.605,     1.090,     1.006,     0.742,     0.527,     0.573,     0.826,     1.065,     0.949,     0.445,     0.318,     0.208,     0.164,     0.344,     0.510,     0.448,     0.545,     0.600,     0.445,     0.378,     0.227,     0.248,     0.111,     0.250,     0.170,     0.036,     0.080,     0.059,     0.072,     0.075,     0.083,     0.094,     0.100,     0.130,     0.146,     0.066,     0.145,     0.084,     0.132,     0.095,     0.084,     0.076,     0.027,     0.108,     0.049,     0.105,     0.050,     0.042,     0.049,     0.035,     0.072,     0.089,     0.118,     0.074,     0.077,     0.045,     0.100,     0.137,     0.054,     0.061,     0.084,     0.088,     0.040,     0.046,     0.094,     0.083,     0.067
UP ,     0.717,     1.359,     2.584,     1.478,     2.839,     1.799,     0.462,     1.125,     1.019,     1.242,     1.191,     0.778,     0.577,     0.284,     0.054,     0.123,     0.176,     0.307,     0.409,     0.118,     0.159,     0.161,     0.066,     0.313,     0.131,     0.261,     0.193,     0.074,     0.010,     0.176,     0.096,     0.132,     0.015,     0.076,     0.114,     0.075,     0.086,     0.013,     0.104,     0.059,     0.043,     0.043,     0.025,     0.014,     0.081,     0.052,     0.214,     0.042,     0.035,     0.048,     0.080,     0.087,     0.139,     0.092,     0.031,     0.047,     0.053,     0.053,     0.071,     0.153,     0.149,     0.041,     0.051,     0.045,     0.103,     0.067,     0.083,     0.079,     0.143,     0.122,     0.094,     0.138,     0.147,     0.174
DOWN ,     1.064,     3.653,     3.867,     3.527,     3.619,     3.685,     2.915,     2.129,     1.852,     1.504,     0.882,     0.333,     0.251,     0.523,     0.804,     0.807,     0.845,     0.557,     0.222,     0.132,     0.081,     0.037,     0.186,     0.351,     0.625,     0.548,     0.503,     0.240,     0.166,     0.198,     0.281,     0.228,     0.132,     0.030,     0.035,     0.015,     0.033,     0.048,     0.083,     0.026,     0.046,     0.030,     0.085,     0.078,     0.088,     0.114,     0.030,     0.104,     0.050,     0.093,     0.058,     0.074,     0.047,     0.031,     0.071,     0.074,     0.035,     0.044,     0.052,     0.044,     0.082,     0.093,     0.020,     0.066,     0.055,     0.060,     0.023,     0.123,     0.109,     0.042,     0.095,     0.088,     0.012,     0.083
UP ,     1.140,     1.290,     3.583,     2.962,     1.350,     3.140,     2.389,     1.639,     2.168,     1.441,     0.640,     0.404,     0.333,     0.390,     0.224,     0.154,     0.222,     0.219,     0.269,     0.146,     0.075,     0.150,     0.248,     0.126,     0.023,     0.104,     0.097,     0.171,     0.032,     0.128,     0.060,     0.071,     0.042,     0.113,     0.137,     0.014,     0.022,     0.036,     0.131,     0.024,     0.102,     0.007,     0.123,     0.051,     0.033,     0.029,     0.098,     0.093,     0.139,     0.074,     0.038,     0.050,     0.040,     0.086,     0.046,     0.057,     0.104,     0.111,     0.148,     0.030,     0.174,     0.094,     0.132,     0.096,     0.117,     0.049,     0.058,     0.052,     0.151,     0.096,     0.084,     0.113,     0.154,     0.069
DOWN ,     1.401,     2.016,     1.672,     1.978,     2.890,     2.686,     2.794,     2.981,     2.959,     2.618,     2.212,     1.591,     0.896,     0.296,     0.202,     0.553,     0.573,     0.387,     0.345,     0.231,     0.189,     0.279,     0.354,     0.387,     0.292,     0.172,     0.174,     0.168,     0.192,     0.200,     0.249,     0.298,     0.275,     0.231,     0.167,     0.060,     0.051,     0.095,     0.147,     0.174,     0.246,     0.223,     0.252,     0.111,     0.029,     0.062,     0.101,     0.142,     0.127,     0.093,     0.055,     0.121,     0.048,     0.029,     0.028,     0.149,     0.060,     0.037,     0.097,     0.038,     0.057,     0.042,     0.069,     0.016,     0.085,     0.046,     0.056,     0.035,     0.065,     0.064,     0.055,     0.044,     0.086,     0.022
