@RELATION UP_DOWN
@ATTRIBUTE  class {OPEN,CLOSE}
@ATTRIBUTE 0.0 numeric
@ATTRIBUTE 8.47457627119 numeric
@ATTRIBUTE 16.9491525424 numeric
@ATTRIBUTE 25.4237288136 numeric
@ATTRIBUTE 33.8983050847 numeric
@ATTRIBUTE 42.3728813559 numeric
@ATTRIBUTE 50.8474576271 numeric
@ATTRIBUTE 59.3220338983 numeric
@ATTRIBUTE 67.7966101695 numeric
@ATTRIBUTE 76.2711864407 numeric
@ATTRIBUTE 84.7457627119 numeric
@ATTRIBUTE 93.2203389831 numeric
@ATTRIBUTE 101.694915254 numeric
@ATTRIBUTE 110.169491525 numeric
@ATTRIBUTE 118.644067797 numeric
@ATTRIBUTE 127.118644068 numeric
@ATTRIBUTE 135.593220339 numeric
@ATTRIBUTE 144.06779661 numeric
@ATTRIBUTE 152.542372881 numeric
@ATTRIBUTE 161.016949153 numeric
@ATTRIBUTE 169.491525424 numeric
@ATTRIBUTE 177.966101695 numeric
@ATTRIBUTE 186.440677966 numeric
@ATTRIBUTE 194.915254237 numeric
@ATTRIBUTE 203.389830508 numeric
@ATTRIBUTE 211.86440678 numeric
@ATTRIBUTE 220.338983051 numeric
@ATTRIBUTE 228.813559322 numeric
@ATTRIBUTE 237.288135593 numeric
@ATTRIBUTE 245.762711864 numeric
@ATTRIBUTE 254.237288136 numeric
@ATTRIBUTE 262.711864407 numeric
@ATTRIBUTE 271.186440678 numeric
@ATTRIBUTE 279.661016949 numeric
@ATTRIBUTE 288.13559322 numeric
@ATTRIBUTE 296.610169492 numeric
@ATTRIBUTE 305.084745763 numeric
@ATTRIBUTE 313.559322034 numeric
@ATTRIBUTE 322.033898305 numeric
@ATTRIBUTE 330.508474576 numeric
@ATTRIBUTE 338.983050847 numeric
@ATTRIBUTE 347.457627119 numeric
@ATTRIBUTE 355.93220339 numeric
@ATTRIBUTE 364.406779661 numeric
@ATTRIBUTE 372.881355932 numeric
@ATTRIBUTE 381.355932203 numeric
@ATTRIBUTE 389.830508475 numeric
@ATTRIBUTE 398.305084746 numeric
@ATTRIBUTE 406.779661017 numeric
@ATTRIBUTE 415.254237288 numeric
@ATTRIBUTE 423.728813559 numeric
@ATTRIBUTE 432.203389831 numeric
@ATTRIBUTE 440.677966102 numeric
@ATTRIBUTE 449.152542373 numeric
@ATTRIBUTE 457.627118644 numeric
@ATTRIBUTE 466.101694915 numeric
@ATTRIBUTE 474.576271186 numeric
@ATTRIBUTE 483.050847458 numeric
@ATTRIBUTE 491.525423729 numeric
@DATA
OPEN ,     7.369,     2.105,     6.586,     4.883,     3.627,     3.070,     2.939,     2.156,     1.873,     1.219,     1.098,     0.895,     0.897,     0.877,     0.997,     0.566,     0.729,     0.585,     0.854,     0.759,     0.752,     0.615,     0.532,     0.484,     0.456,     0.473,     0.441,     0.426,     0.385,     0.354,     0.422,     0.365,     0.365,     0.344,     0.318,     0.283,     0.335,     0.488,     0.420,     0.453,     0.319,     0.342,     0.283,     0.329,     0.317,     0.305,     0.236,     0.253,     0.233,     0.331,     0.354,     0.213,     0.314,     0.299,     0.314,     0.300,     0.338,     0.335,     0.330
OPEN ,     6.639,     5.305,     2.800,     1.852,     2.736,     2.252,     1.916,     1.734,     1.462,     1.122,     0.976,     0.792,     0.551,     0.134,     0.144,     0.428,     0.430,     0.435,     0.377,     0.308,     0.376,     0.298,     0.396,     0.360,     0.272,     0.288,     0.241,     0.192,     0.083,     0.322,     0.252,     0.183,     0.188,     0.203,     0.176,     0.148,     0.072,     0.224,     0.168,     0.196,     0.253,     0.128,     0.203,     0.105,     0.155,     0.186,     0.128,     0.187,     0.115,     0.221,     0.180,     0.185,     0.200,     0.160,     0.163,     0.108,     0.140,     0.127,     0.193
OPEN ,     3.007,     3.390,     3.691,     3.522,     2.854,     2.235,     2.320,     1.549,     1.482,     1.109,     1.056,     0.806,     1.011,     0.986,     0.831,     0.586,     0.604,     0.593,     0.564,     0.388,     0.387,     0.368,     0.387,     0.318,     0.348,     0.368,     0.358,     0.401,     0.250,     0.290,     0.216,     0.284,     0.171,     0.175,     0.113,     0.209,     0.153,     0.256,     0.141,     0.132,     0.162,     0.158,     0.145,     0.085,     0.231,     0.169,     0.179,     0.099,     0.103,     0.141,     0.159,     0.145,     0.176,     0.176,     0.093,     0.062,     0.047,     0.084,     0.152
OPEN ,     3.621,     5.785,     3.905,     3.638,     2.910,     1.884,     1.334,     0.960,     0.886,     0.797,     0.627,     0.544,     0.487,     0.723,     0.533,     0.503,     0.545,     0.399,     0.337,     0.364,     0.317,     0.280,     0.212,     0.178,     0.397,     0.366,     0.270,     0.238,     0.223,     0.411,     0.361,     0.304,     0.257,     0.275,     0.222,     0.313,     0.253,     0.345,     0.256,     0.282,     0.217,     0.250,     0.255,     0.278,     0.258,     0.240,     0.228,     0.254,     0.231,     0.274,     0.249,     0.278,     0.323,     0.220,     0.189,     0.199,     0.299,     0.219,     0.206
OPEN ,     2.175,    13.262,     8.525,     4.289,     5.683,     5.393,     5.370,     1.848,     2.721,     1.475,     0.514,     1.097,     0.821,     0.610,     0.779,     0.763,     0.516,     0.658,     0.889,     0.594,     0.691,     0.812,     0.427,     0.639,     0.451,     0.525,     0.441,     0.600,     0.422,     0.515,     0.309,     0.335,     0.394,     0.382,     0.425,     0.381,     0.335,     0.422,     0.321,     0.407,     0.370,     0.264,     0.304,     0.352,     0.296,     0.389,     0.369,     0.385,     0.237,     0.395,     0.250,     0.309,     0.367,     0.192,     0.372,     0.313,     0.389,     0.314,     0.256
CLOSE ,     8.220,     5.272,     6.910,     8.018,     5.147,     4.156,     1.144,     0.266,     0.316,     0.819,     0.587,     0.387,     0.261,     0.249,     0.411,     0.519,     0.522,     0.372,     0.334,     0.219,     0.269,     0.216,     0.157,     0.074,     0.084,     0.191,     0.238,     0.242,     0.264,     0.246,     0.089,     0.085,     0.080,     0.082,     0.083,     0.126,     0.099,     0.317,     0.177,     0.215,     0.159,     0.146,     0.056,     0.119,     0.089,     0.084,     0.092,     0.161,     0.173,     0.186,     0.154,     0.086,     0.168,     0.110,     0.130,     0.113,     0.189,     0.143,     0.149
OPEN ,     2.117,     2.739,     1.925,     1.279,     0.811,     0.526,     0.517,     0.478,     0.493,     0.408,     0.376,     0.331,     0.324,     0.387,     0.268,     0.208,     0.226,     0.219,     0.233,     0.294,     0.195,     0.196,     0.183,     0.124,     0.219,     0.168,     0.209,     0.212,     0.238,     0.225,     0.133,     0.114,     0.063,     0.121,     0.107,     0.208,     0.167,     0.136,     0.142,     0.147,     0.064,     0.124,     0.050,     0.138,     0.075,     0.148,     0.138,     0.063,     0.199,     0.094,     0.238,     0.045,     0.127,     0.024,     0.005,     0.085,     0.170,     0.113,     0.143
OPEN ,     3.632,     2.753,     1.860,     1.168,     0.682,     0.556,     0.522,     0.498,     0.481,     0.335,     0.414,     0.298,     0.300,     0.395,     0.216,     0.232,     0.232,     0.261,     0.245,     0.146,     0.210,     0.210,     0.255,     0.206,     0.156,     0.133,     0.092,     0.050,     0.209,     0.150,     0.211,     0.156,     0.158,     0.163,     0.108,     0.156,     0.153,     0.225,     0.059,     0.129,     0.119,     0.119,     0.177,     0.146,     0.142,     0.094,     0.093,     0.098,     0.099,     0.035,     0.073,     0.066,     0.128,     0.147,     0.190,     0.100,     0.095,     0.126,     0.176
CLOSE ,     4.329,     4.417,     3.590,     3.164,     2.096,     1.469,     0.773,     0.160,     0.420,     0.578,     0.503,     0.469,     0.317,     0.090,     0.317,     0.331,     0.574,     0.514,     0.548,     0.444,     0.385,     0.189,     0.109,     0.041,     0.161,     0.123,     0.227,     0.197,     0.210,     0.232,     0.218,     0.074,     0.118,     0.083,     0.173,     0.207,     0.107,     0.171,     0.110,     0.165,     0.153,     0.061,     0.059,     0.058,     0.212,     0.108,     0.128,     0.131,     0.159,     0.119,     0.109,     0.152,     0.128,     0.138,     0.062,     0.130,     0.093,     0.140,     0.069
OPEN ,     2.663,     4.094,     4.818,     4.169,     3.164,     1.795,     0.902,     0.425,     0.445,     0.485,     0.614,     0.577,     0.368,     0.469,     0.227,     0.347,     0.287,     0.230,     0.385,     0.386,     0.245,     0.272,     0.134,     0.071,     0.197,     0.118,     0.163,     0.247,     0.335,     0.190,     0.217,     0.117,     0.223,     0.182,     0.145,     0.168,     0.154,     0.246,     0.161,     0.192,     0.193,     0.252,     0.221,     0.169,     0.112,     0.151,     0.109,     0.193,     0.181,     0.119,     0.014,     0.080,     0.172,     0.069,     0.085,     0.168,     0.118,     0.239,     0.363
