@RELATION UP_DOWN
@ATTRIBUTE  class {UP,DOWN}
@ATTRIBUTE 0.0 numeric
@ATTRIBUTE 6.75675675676 numeric
@ATTRIBUTE 13.5135135135 numeric
@ATTRIBUTE 20.2702702703 numeric
@ATTRIBUTE 27.027027027 numeric
@ATTRIBUTE 33.7837837838 numeric
@ATTRIBUTE 40.5405405405 numeric
@ATTRIBUTE 47.2972972973 numeric
@ATTRIBUTE 54.0540540541 numeric
@ATTRIBUTE 60.8108108108 numeric
@ATTRIBUTE 67.5675675676 numeric
@ATTRIBUTE 74.3243243243 numeric
@ATTRIBUTE 81.0810810811 numeric
@ATTRIBUTE 87.8378378378 numeric
@ATTRIBUTE 94.5945945946 numeric
@ATTRIBUTE 101.351351351 numeric
@ATTRIBUTE 108.108108108 numeric
@ATTRIBUTE 114.864864865 numeric
@ATTRIBUTE 121.621621622 numeric
@ATTRIBUTE 128.378378378 numeric
@ATTRIBUTE 135.135135135 numeric
@ATTRIBUTE 141.891891892 numeric
@ATTRIBUTE 148.648648649 numeric
@ATTRIBUTE 155.405405405 numeric
@ATTRIBUTE 162.162162162 numeric
@ATTRIBUTE 168.918918919 numeric
@ATTRIBUTE 175.675675676 numeric
@ATTRIBUTE 182.432432432 numeric
@ATTRIBUTE 189.189189189 numeric
@ATTRIBUTE 195.945945946 numeric
@ATTRIBUTE 202.702702703 numeric
@ATTRIBUTE 209.459459459 numeric
@ATTRIBUTE 216.216216216 numeric
@ATTRIBUTE 222.972972973 numeric
@ATTRIBUTE 229.72972973 numeric
@ATTRIBUTE 236.486486486 numeric
@ATTRIBUTE 243.243243243 numeric
@ATTRIBUTE 250.0 numeric
@ATTRIBUTE 256.756756757 numeric
@ATTRIBUTE 263.513513514 numeric
@ATTRIBUTE 270.27027027 numeric
@ATTRIBUTE 277.027027027 numeric
@ATTRIBUTE 283.783783784 numeric
@ATTRIBUTE 290.540540541 numeric
@ATTRIBUTE 297.297297297 numeric
@ATTRIBUTE 304.054054054 numeric
@ATTRIBUTE 310.810810811 numeric
@ATTRIBUTE 317.567567568 numeric
@ATTRIBUTE 324.324324324 numeric
@ATTRIBUTE 331.081081081 numeric
@ATTRIBUTE 337.837837838 numeric
@ATTRIBUTE 344.594594595 numeric
@ATTRIBUTE 351.351351351 numeric
@ATTRIBUTE 358.108108108 numeric
@ATTRIBUTE 364.864864865 numeric
@ATTRIBUTE 371.621621622 numeric
@ATTRIBUTE 378.378378378 numeric
@ATTRIBUTE 385.135135135 numeric
@ATTRIBUTE 391.891891892 numeric
@ATTRIBUTE 398.648648649 numeric
@ATTRIBUTE 405.405405405 numeric
@ATTRIBUTE 412.162162162 numeric
@ATTRIBUTE 418.918918919 numeric
@ATTRIBUTE 425.675675676 numeric
@ATTRIBUTE 432.432432432 numeric
@ATTRIBUTE 439.189189189 numeric
@ATTRIBUTE 445.945945946 numeric
@ATTRIBUTE 452.702702703 numeric
@ATTRIBUTE 459.459459459 numeric
@ATTRIBUTE 466.216216216 numeric
@ATTRIBUTE 472.972972973 numeric
@ATTRIBUTE 479.72972973 numeric
@ATTRIBUTE 486.486486486 numeric
@ATTRIBUTE 493.243243243 numeric
@DATA
UP ,    22.316,    20.387,    20.699,    17.011,    10.076,     7.608,     7.494,     8.851,    11.197,    10.796,    10.231,     8.387,     7.369,     6.165,     4.744,     3.831,     3.234,     2.825,     1.941,     1.346,     0.793,     0.705,     0.789,     0.982,     1.201,     1.042,     0.676,     0.454,     0.433,     0.487,     0.351,     0.143,     0.260,     0.450,     0.362,     0.252,     0.206,     0.180,     0.317,     0.267,     0.213,     0.040,     0.277,     0.229,     0.274,     0.321,     0.323,     0.275,     0.328,     0.175,     0.653,     0.530,     0.364,     0.369,     0.438,     0.164,     0.176,     0.487,     0.159,     0.153,     0.140,     0.138,     0.241,     0.334,     0.204,     0.355,     0.139,     0.326,     0.364,     0.354,     0.338,     0.203,     0.398,     0.201
UP ,    26.176,    28.598,    24.270,    31.371,    28.017,    22.544,    17.888,    16.009,    17.251,    15.549,    13.620,    11.331,    11.605,    10.007,     7.795,     6.408,     5.684,     4.639,     3.895,     2.955,     2.253,     1.670,     1.378,     1.189,     1.235,     1.184,     0.958,     1.049,     0.877,     0.810,     0.826,     0.764,     0.424,     0.595,     0.469,     0.360,     0.089,     0.140,     0.414,     0.523,     0.665,     0.671,     0.666,     0.550,     0.433,     0.364,     0.589,     0.563,     0.456,     0.305,     0.224,     0.472,     0.420,     0.308,     0.114,     0.310,     0.546,     0.130,     0.107,     0.204,     0.131,     0.269,     0.464,     0.439,     0.526,     0.357,     0.634,     0.406,     0.545,     0.515,     0.210,     0.215,     0.159,     0.297
UP ,    10.212,    12.181,    13.498,    12.906,     7.286,     4.074,     6.015,     8.057,     8.018,     6.939,     6.034,     4.856,     3.610,     2.506,     1.710,     0.864,     0.346,     0.097,     0.336,     0.625,     0.300,     0.259,     0.347,     0.357,     0.472,     0.553,     0.464,     0.410,     0.543,     0.559,     0.263,     0.448,     0.484,     0.430,     0.620,     0.460,     0.386,     0.277,     0.573,     0.666,     0.528,     0.439,     0.371,     0.238,     0.296,     0.185,     0.385,     0.191,     0.181,     0.122,     0.125,     0.092,     0.185,     0.232,     0.273,     0.596,     0.504,     0.428,     0.429,     0.259,     0.237,     0.008,     0.130,     0.096,     0.282,     0.200,     0.274,     0.253,     0.270,     0.284,     0.136,     0.109,     0.161,     0.182
UP ,     9.920,    12.912,    12.901,    11.915,     9.684,     8.310,     7.709,     7.259,     4.035,     1.396,     2.885,     4.319,     5.361,     5.905,     5.611,     4.040,     2.067,     1.559,     2.613,     2.551,     1.928,     1.233,     1.199,     1.426,     1.847,     1.709,     1.339,     0.928,     0.247,     0.630,     0.635,     0.694,     0.456,     0.420,     0.283,     0.349,     0.450,     0.759,     0.674,     0.406,     0.377,     0.194,     0.067,     0.061,     0.078,     0.238,     0.295,     0.345,     0.573,     0.381,     0.310,     0.386,     0.762,     0.737,     0.822,     0.808,     0.727,     0.530,     0.361,     0.146,     0.301,     0.502,     0.772,     0.577,     0.509,     0.333,     0.241,     0.484,     0.638,     0.430,     0.222,     0.144,     0.397,     0.415
UP ,     5.190,    12.478,    11.775,    19.547,    18.639,     8.500,     9.992,     3.442,     2.754,     3.626,     3.234,     0.789,     2.420,     2.797,     1.908,     1.430,     0.527,     0.668,     0.758,     0.281,     0.647,     1.064,     0.819,     0.818,     0.680,     0.655,     0.710,     0.417,     0.144,     0.028,     0.193,     0.325,     0.229,     0.081,     0.321,     0.448,     0.354,     0.302,     0.332,     0.336,     0.227,     0.228,     0.255,     0.186,     0.170,     0.183,     0.238,     0.295,     0.146,     0.107,     0.248,     0.083,     0.123,     0.169,     0.261,     0.097,     0.103,     0.194,     0.165,     0.129,     0.111,     0.046,     0.011,     0.102,     0.087,     0.116,     0.147,     0.139,     0.112,     0.049,     0.051,     0.070,     0.113,     0.073
UP ,     3.048,    11.265,    15.206,    15.879,     9.751,     2.071,     3.517,     1.342,     3.765,     4.333,     4.427,     3.708,     2.252,     1.546,     2.822,     2.822,     2.526,     2.293,     1.413,     1.713,     1.764,     1.835,     1.972,     1.610,     1.548,     0.924,     0.695,     0.612,     0.414,     0.290,     0.505,     0.298,     0.523,     0.715,     0.644,     0.410,     0.212,     0.280,     0.248,     0.365,     0.392,     1.000,     0.503,     0.431,     0.604,     0.212,     0.653,     0.451,     0.258,     0.215,     0.271,     0.357,     0.296,     0.463,     0.161,     0.158,     0.262,     0.121,     0.184,     0.272,     0.519,     0.192,     0.286,     0.460,     0.189,     0.519,     0.257,     0.397,     0.232,     0.429,     0.452,     0.159,     0.453,     0.358
DOWN ,    15.239,    18.820,    13.610,    12.085,     6.613,     1.267,     4.516,     6.833,     6.390,     5.211,     3.298,     2.464,     2.234,     1.470,     0.823,     0.860,     1.167,     0.812,     0.692,     0.698,     0.683,     0.531,     0.405,     0.513,     0.661,     0.714,     0.662,     0.413,     0.397,     0.184,     0.235,     0.133,     0.153,     0.150,     0.141,     0.103,     0.265,     0.144,     0.092,     0.242,     0.109,     0.258,     0.120,     0.185,     0.031,     0.215,     0.178,     0.276,     0.165,     0.093,     0.167,     0.132,     0.173,     0.021,     0.285,     0.011,     0.154,     0.142,     0.224,     0.188,     0.157,     0.157,     0.248,     0.037,     0.181,     0.239,     0.243,     0.272,     0.185,     0.220,     0.137,     0.315,     0.100,     0.180
DOWN ,    16.014,    17.506,    12.080,    12.285,    12.535,    10.623,    11.988,    11.389,    10.432,     9.295,     7.445,     5.402,     3.680,     3.225,     2.811,     2.565,     2.368,     2.228,     1.986,     1.978,     1.825,     1.494,     1.431,     1.476,     1.058,     0.859,     0.748,     0.627,     0.412,     0.497,     0.281,     0.145,     0.171,     0.487,     0.357,     0.426,     0.248,     0.332,     0.212,     0.349,     0.270,     0.118,     0.079,     0.166,     0.183,     0.297,     0.301,     0.181,     0.181,     0.104,     0.302,     0.219,     0.114,     0.177,     0.224,     0.197,     0.226,     0.371,     0.208,     0.258,     0.106,     0.093,     0.111,     0.159,     0.069,     0.244,     0.062,     0.103,     0.045,     0.090,     0.081,     0.328,     0.083,     0.188
DOWN ,    11.507,    13.683,    11.238,     9.826,     7.246,     4.021,     2.465,     3.993,     3.753,     2.290,     1.335,     0.102,     1.683,     2.305,     2.238,     1.694,     1.889,     2.087,     1.514,     0.631,     0.559,     0.444,     0.579,     0.758,     0.445,     0.158,     0.538,     0.241,     0.211,     0.253,     0.064,     0.495,     0.617,     0.571,     0.569,     0.471,     0.563,     0.679,     0.456,     0.197,     0.274,     0.330,     0.215,     0.190,     0.214,     0.194,     0.087,     0.126,     0.098,     0.092,     0.102,     0.197,     0.128,     0.132,     0.187,     0.358,     0.178,     0.336,     0.094,     0.134,     0.128,     0.042,     0.062,     0.097,     0.243,     0.218,     0.108,     0.185,     0.117,     0.073,     0.132,     0.123,     0.154,     0.090
DOWN ,     6.121,     7.960,    12.642,    16.002,    16.052,    13.649,    10.628,     9.503,     7.972,     6.020,     3.758,     2.742,     3.027,     3.652,     4.134,     3.754,     3.445,     3.149,     2.611,     1.610,     1.202,     1.365,     1.573,     1.271,     1.147,     1.265,     1.348,     0.915,     0.307,     0.083,     0.286,     0.318,     0.137,     0.273,     0.210,     0.174,     0.203,     0.326,     0.229,     0.209,     0.201,     0.179,     0.016,     0.103,     0.237,     0.335,     0.196,     0.181,     0.147,     0.116,     0.305,     0.189,     0.235,     0.230,     0.119,     0.147,     0.241,     0.097,     0.048,     0.200,     0.042,     0.140,     0.066,     0.253,     0.206,     0.131,     0.244,     0.250,     0.199,     0.082,     0.031,     0.055,     0.333,     0.196
