@RELATION UP_DOWN
@ATTRIBUTE  class {UP,DOWN}
@ATTRIBUTE 0.0 numeric
@ATTRIBUTE 6.75675675676 numeric
@ATTRIBUTE 13.5135135135 numeric
@ATTRIBUTE 20.2702702703 numeric
@ATTRIBUTE 27.027027027 numeric
@ATTRIBUTE 33.7837837838 numeric
@ATTRIBUTE 40.5405405405 numeric
@ATTRIBUTE 47.2972972973 numeric
@ATTRIBUTE 54.0540540541 numeric
@ATTRIBUTE 60.8108108108 numeric
@ATTRIBUTE 67.5675675676 numeric
@ATTRIBUTE 74.3243243243 numeric
@ATTRIBUTE 81.0810810811 numeric
@ATTRIBUTE 87.8378378378 numeric
@ATTRIBUTE 94.5945945946 numeric
@ATTRIBUTE 101.351351351 numeric
@ATTRIBUTE 108.108108108 numeric
@ATTRIBUTE 114.864864865 numeric
@ATTRIBUTE 121.621621622 numeric
@ATTRIBUTE 128.378378378 numeric
@ATTRIBUTE 135.135135135 numeric
@ATTRIBUTE 141.891891892 numeric
@ATTRIBUTE 148.648648649 numeric
@ATTRIBUTE 155.405405405 numeric
@ATTRIBUTE 162.162162162 numeric
@ATTRIBUTE 168.918918919 numeric
@ATTRIBUTE 175.675675676 numeric
@ATTRIBUTE 182.432432432 numeric
@ATTRIBUTE 189.189189189 numeric
@ATTRIBUTE 195.945945946 numeric
@ATTRIBUTE 202.702702703 numeric
@ATTRIBUTE 209.459459459 numeric
@ATTRIBUTE 216.216216216 numeric
@ATTRIBUTE 222.972972973 numeric
@ATTRIBUTE 229.72972973 numeric
@ATTRIBUTE 236.486486486 numeric
@ATTRIBUTE 243.243243243 numeric
@ATTRIBUTE 250.0 numeric
@ATTRIBUTE 256.756756757 numeric
@ATTRIBUTE 263.513513514 numeric
@ATTRIBUTE 270.27027027 numeric
@ATTRIBUTE 277.027027027 numeric
@ATTRIBUTE 283.783783784 numeric
@ATTRIBUTE 290.540540541 numeric
@ATTRIBUTE 297.297297297 numeric
@ATTRIBUTE 304.054054054 numeric
@ATTRIBUTE 310.810810811 numeric
@ATTRIBUTE 317.567567568 numeric
@ATTRIBUTE 324.324324324 numeric
@ATTRIBUTE 331.081081081 numeric
@ATTRIBUTE 337.837837838 numeric
@ATTRIBUTE 344.594594595 numeric
@ATTRIBUTE 351.351351351 numeric
@ATTRIBUTE 358.108108108 numeric
@ATTRIBUTE 364.864864865 numeric
@ATTRIBUTE 371.621621622 numeric
@ATTRIBUTE 378.378378378 numeric
@ATTRIBUTE 385.135135135 numeric
@ATTRIBUTE 391.891891892 numeric
@ATTRIBUTE 398.648648649 numeric
@ATTRIBUTE 405.405405405 numeric
@ATTRIBUTE 412.162162162 numeric
@ATTRIBUTE 418.918918919 numeric
@ATTRIBUTE 425.675675676 numeric
@ATTRIBUTE 432.432432432 numeric
@ATTRIBUTE 439.189189189 numeric
@ATTRIBUTE 445.945945946 numeric
@ATTRIBUTE 452.702702703 numeric
@ATTRIBUTE 459.459459459 numeric
@ATTRIBUTE 466.216216216 numeric
@ATTRIBUTE 472.972972973 numeric
@ATTRIBUTE 479.72972973 numeric
@ATTRIBUTE 486.486486486 numeric
@ATTRIBUTE 493.243243243 numeric
@DATA
DOWN ,     2.460,     1.905,     2.080,     1.188,     0.896,     1.464,     1.846,     2.160,     1.769,     1.161,     0.720,     0.629,     0.919,     1.027,     0.718,     0.475,     0.700,     0.705,     0.646,     0.595,     0.429,     0.584,     0.297,     0.153,     0.176,     0.262,     0.189,     0.149,     0.236,     0.146,     0.229,     0.128,     0.120,     0.026,     0.151,     0.118,     0.158,     0.073,     0.126,     0.053,     0.027,     0.041,     0.138,     0.074,     0.085,     0.162,     0.099,     0.056,     0.096,     0.104,     0.184,     0.101,     0.151,     0.034,     0.081,     0.224,     0.154,     0.281,     0.059,     0.142,     0.057,     0.103,     0.082,     0.048,     0.022,     0.153,     0.079,     0.078,     0.059,     0.064,     0.032,     0.095,     0.199,     0.156
UP ,     2.225,     1.910,     1.328,     0.547,     1.290,     0.391,     0.346,     0.937,     1.169,     0.947,     1.326,     1.105,     0.823,     0.714,     0.330,     0.175,     0.041,     0.177,     0.110,     0.049,     0.113,     0.089,     0.221,     0.166,     0.240,     0.287,     0.063,     0.086,     0.198,     0.178,     0.180,     0.085,     0.069,     0.186,     0.150,     0.157,     0.195,     0.099,     0.238,     0.140,     0.100,     0.099,     0.028,     0.113,     0.093,     0.114,     0.121,     0.107,     0.134,     0.071,     0.136,     0.145,     0.038,     0.156,     0.187,     0.091,     0.185,     0.118,     0.191,     0.221,     0.224,     0.206,     0.154,     0.202,     0.052,     0.101,     0.136,     0.103,     0.032,     0.072,     0.141,     0.110,     0.144,     0.196
DOWN ,     1.178,     1.034,     2.904,     3.390,     3.253,     2.301,     1.805,     1.318,     1.187,     0.596,     0.405,     0.232,     0.291,     0.376,     0.408,     0.441,     0.172,     0.240,     0.320,     0.553,     0.459,     0.410,     0.449,     0.424,     0.367,     0.321,     0.277,     0.342,     0.092,     0.327,     0.058,     0.084,     0.239,     0.243,     0.169,     0.139,     0.141,     0.200,     0.079,     0.023,     0.014,     0.109,     0.150,     0.232,     0.066,     0.051,     0.089,     0.063,     0.078,     0.160,     0.109,     0.029,     0.201,     0.193,     0.134,     0.052,     0.282,     0.052,     0.101,     0.132,     0.110,     0.178,     0.166,     0.074,     0.276,     0.094,     0.171,     0.050,     0.091,     0.124,     0.052,     0.130,     0.108,     0.050
UP ,     2.688,     2.845,     2.082,     1.521,     1.363,     0.606,     0.725,     1.337,     1.238,     1.083,     0.849,     0.743,     0.441,     0.501,     0.339,     0.341,     0.305,     0.217,     0.096,     0.063,     0.302,     0.301,     0.168,     0.200,     0.255,     0.048,     0.172,     0.249,     0.100,     0.124,     0.012,     0.171,     0.183,     0.025,     0.161,     0.293,     0.215,     0.063,     0.061,     0.134,     0.024,     0.042,     0.170,     0.095,     0.114,     0.023,     0.091,     0.125,     0.112,     0.231,     0.216,     0.012,     0.125,     0.157,     0.059,     0.300,     0.177,     0.039,     0.183,     0.150,     0.242,     0.107,     0.046,     0.096,     0.174,     0.261,     0.035,     0.113,     0.144,     0.096,     0.236,     0.123,     0.013,     0.166
DOWN ,     0.480,     3.353,     4.519,     5.084,     4.929,     3.090,     1.134,     0.364,     0.976,     1.111,     0.678,     0.448,     0.683,     0.559,     0.508,     0.562,     0.532,     0.406,     0.391,     0.347,     0.216,     0.238,     0.323,     0.232,     0.148,     0.245,     0.210,     0.381,     0.280,     0.168,     0.214,     0.166,     0.250,     0.358,     0.371,     0.281,     0.154,     0.094,     0.103,     0.029,     0.068,     0.139,     0.119,     0.072,     0.051,     0.180,     0.168,     0.096,     0.093,     0.122,     0.201,     0.197,     0.083,     0.138,     0.034,     0.058,     0.147,     0.010,     0.139,     0.093,     0.104,     0.089,     0.107,     0.197,     0.075,     0.155,     0.198,     0.120,     0.131,     0.138,     0.012,     0.154,     0.086,     0.105
UP ,     3.218,     4.719,     3.717,     3.225,     1.226,     1.848,     1.564,     0.333,     0.484,     1.015,     1.008,     1.329,     1.313,     1.503,     0.936,     0.965,     0.860,     0.664,     0.577,     0.473,     0.467,     0.355,     0.331,     0.295,     0.463,     0.521,     0.519,     0.381,     0.363,     0.170,     0.176,     0.034,     0.112,     0.091,     0.129,     0.133,     0.007,     0.108,     0.119,     0.115,     0.131,     0.142,     0.128,     0.163,     0.101,     0.110,     0.117,     0.174,     0.112,     0.133,     0.138,     0.153,     0.070,     0.162,     0.148,     0.171,     0.143,     0.212,     0.157,     0.126,     0.075,     0.163,     0.223,     0.239,     0.216,     0.119,     0.127,     0.068,     0.022,     0.156,     0.138,     0.238,     0.175,     0.047
DOWN ,     1.112,     1.904,     2.243,     3.037,     3.417,     2.626,     1.770,     1.540,     1.196,     0.563,     0.252,     0.435,     0.583,     0.889,     0.822,     0.323,     0.110,     0.267,     0.302,     0.416,     0.494,     0.607,     0.215,     0.411,     0.237,     0.361,     0.291,     0.324,     0.071,     0.103,     0.118,     0.163,     0.131,     0.247,     0.109,     0.125,     0.230,     0.247,     0.198,     0.143,     0.058,     0.098,     0.061,     0.247,     0.227,     0.070,     0.210,     0.071,     0.146,     0.122,     0.051,     0.177,     0.134,     0.134,     0.103,     0.203,     0.171,     0.104,     0.166,     0.176,     0.053,     0.098,     0.058,     0.084,     0.106,     0.199,     0.219,     0.315,     0.148,     0.161,     0.134,     0.324,     0.061,     0.162
UP ,     2.919,     2.667,     2.065,     2.584,     2.007,     0.944,     0.617,     0.708,     0.653,     0.772,     0.322,     0.301,     0.610,     0.440,     0.180,     0.214,     0.131,     0.090,     0.126,     0.062,     0.130,     0.276,     0.226,     0.285,     0.196,     0.340,     0.201,     0.346,     0.221,     0.043,     0.145,     0.180,     0.138,     0.249,     0.203,     0.145,     0.063,     0.130,     0.032,     0.242,     0.193,     0.230,     0.141,     0.135,     0.064,     0.043,     0.047,     0.100,     0.188,     0.093,     0.070,     0.067,     0.153,     0.088,     0.040,     0.171,     0.092,     0.131,     0.146,     0.079,     0.129,     0.054,     0.025,     0.017,     0.225,     0.154,     0.168,     0.053,     0.076,     0.081,     0.076,     0.028,     0.138,     0.101
DOWN ,     2.567,     4.557,     5.222,     5.245,     5.028,     5.144,     4.858,     4.575,     4.264,     3.630,     2.817,     2.197,     1.342,     0.961,     0.901,     1.040,     1.070,     1.032,     0.799,     0.770,     0.446,     0.736,     0.473,     0.597,     0.502,     0.357,     0.495,     0.273,     0.417,     0.353,     0.246,     0.452,     0.259,     0.286,     0.224,     0.185,     0.218,     0.086,     0.101,     0.153,     0.130,     0.052,     0.171,     0.045,     0.078,     0.144,     0.056,     0.175,     0.024,     0.069,     0.090,     0.109,     0.146,     0.155,     0.200,     0.046,     0.095,     0.161,     0.088,     0.088,     0.160,     0.207,     0.097,     0.284,     0.201,     0.218,     0.183,     0.151,     0.198,     0.142,     0.140,     0.152,     0.159,     0.230
DOWN ,     1.646,     3.768,     5.121,     5.894,     5.323,     4.468,     3.474,     2.579,     2.584,     2.461,     2.405,     2.321,     1.608,     0.551,     0.131,     0.706,     0.754,     0.636,     0.835,     0.815,     1.142,     0.823,     0.903,     0.576,     0.253,     0.107,     0.332,     0.247,     0.098,     0.116,     0.140,     0.295,     0.220,     0.059,     0.264,     0.163,     0.099,     0.046,     0.139,     0.309,     0.130,     0.276,     0.123,     0.237,     0.169,     0.221,     0.197,     0.266,     0.247,     0.337,     0.190,     0.244,     0.111,     0.198,     0.172,     0.165,     0.019,     0.109,     0.074,     0.035,     0.100,     0.085,     0.178,     0.106,     0.009,     0.210,     0.116,     0.091,     0.197,     0.177,     0.247,     0.301,     0.255,     0.142
UP ,     1.744,     2.072,     2.852,     1.802,     1.003,     1.107,     1.589,     0.535,     0.486,     0.248,     0.460,     0.527,     0.791,     0.691,     0.767,     0.353,     0.179,     0.299,     0.456,     0.399,     0.666,     0.343,     0.473,     0.122,     0.135,     0.226,     0.054,     0.276,     0.092,     0.232,     0.166,     0.193,     0.200,     0.068,     0.101,     0.131,     0.171,     0.173,     0.134,     0.098,     0.177,     0.042,     0.182,     0.273,     0.092,     0.052,     0.032,     0.110,     0.090,     0.074,     0.031,     0.090,     0.125,     0.106,     0.027,     0.213,     0.328,     0.225,     0.179,     0.346,     0.163,     0.071,     0.120,     0.118,     0.326,     0.339,     0.315,     0.574,     0.338,     0.219,     0.166,     0.104,     0.015,     0.067
