@RELATION UP_DOWN
@ATTRIBUTE  class {UP,DOWN}
@ATTRIBUTE 0.0 numeric
@ATTRIBUTE 6.75675675676 numeric
@ATTRIBUTE 13.5135135135 numeric
@ATTRIBUTE 20.2702702703 numeric
@ATTRIBUTE 27.027027027 numeric
@ATTRIBUTE 33.7837837838 numeric
@ATTRIBUTE 40.5405405405 numeric
@ATTRIBUTE 47.2972972973 numeric
@ATTRIBUTE 54.0540540541 numeric
@ATTRIBUTE 60.8108108108 numeric
@ATTRIBUTE 67.5675675676 numeric
@ATTRIBUTE 74.3243243243 numeric
@ATTRIBUTE 81.0810810811 numeric
@ATTRIBUTE 87.8378378378 numeric
@ATTRIBUTE 94.5945945946 numeric
@ATTRIBUTE 101.351351351 numeric
@ATTRIBUTE 108.108108108 numeric
@ATTRIBUTE 114.864864865 numeric
@ATTRIBUTE 121.621621622 numeric
@ATTRIBUTE 128.378378378 numeric
@ATTRIBUTE 135.135135135 numeric
@ATTRIBUTE 141.891891892 numeric
@ATTRIBUTE 148.648648649 numeric
@ATTRIBUTE 155.405405405 numeric
@ATTRIBUTE 162.162162162 numeric
@ATTRIBUTE 168.918918919 numeric
@ATTRIBUTE 175.675675676 numeric
@ATTRIBUTE 182.432432432 numeric
@ATTRIBUTE 189.189189189 numeric
@ATTRIBUTE 195.945945946 numeric
@ATTRIBUTE 202.702702703 numeric
@ATTRIBUTE 209.459459459 numeric
@ATTRIBUTE 216.216216216 numeric
@ATTRIBUTE 222.972972973 numeric
@ATTRIBUTE 229.72972973 numeric
@ATTRIBUTE 236.486486486 numeric
@ATTRIBUTE 243.243243243 numeric
@ATTRIBUTE 250.0 numeric
@ATTRIBUTE 256.756756757 numeric
@ATTRIBUTE 263.513513514 numeric
@ATTRIBUTE 270.27027027 numeric
@ATTRIBUTE 277.027027027 numeric
@ATTRIBUTE 283.783783784 numeric
@ATTRIBUTE 290.540540541 numeric
@ATTRIBUTE 297.297297297 numeric
@ATTRIBUTE 304.054054054 numeric
@ATTRIBUTE 310.810810811 numeric
@ATTRIBUTE 317.567567568 numeric
@ATTRIBUTE 324.324324324 numeric
@ATTRIBUTE 331.081081081 numeric
@ATTRIBUTE 337.837837838 numeric
@ATTRIBUTE 344.594594595 numeric
@ATTRIBUTE 351.351351351 numeric
@ATTRIBUTE 358.108108108 numeric
@ATTRIBUTE 364.864864865 numeric
@ATTRIBUTE 371.621621622 numeric
@ATTRIBUTE 378.378378378 numeric
@ATTRIBUTE 385.135135135 numeric
@ATTRIBUTE 391.891891892 numeric
@ATTRIBUTE 398.648648649 numeric
@ATTRIBUTE 405.405405405 numeric
@ATTRIBUTE 412.162162162 numeric
@ATTRIBUTE 418.918918919 numeric
@ATTRIBUTE 425.675675676 numeric
@ATTRIBUTE 432.432432432 numeric
@ATTRIBUTE 439.189189189 numeric
@ATTRIBUTE 445.945945946 numeric
@ATTRIBUTE 452.702702703 numeric
@ATTRIBUTE 459.459459459 numeric
@ATTRIBUTE 466.216216216 numeric
@ATTRIBUTE 472.972972973 numeric
@ATTRIBUTE 479.72972973 numeric
@ATTRIBUTE 486.486486486 numeric
@ATTRIBUTE 493.243243243 numeric
@DATA
DOWN ,     2.725,     0.874,     0.961,     0.776,     0.610,     0.868,     0.979,     1.115,     1.158,     0.859,     0.900,     0.848,     0.553,     0.511,     0.278,     0.151,     0.169,     0.136,     0.164,     0.298,     0.252,     0.237,     0.139,     0.182,     0.180,     0.221,     0.123,     0.267,     0.162,     0.195,     0.113,     0.129,     0.017,     0.037,     0.088,     0.079,     0.046,     0.096,     0.054,     0.090,     0.083,     0.083,     0.118,     0.146,     0.073,     0.123,     0.156,     0.103,     0.051,     0.074,     0.023,     0.073,     0.063,     0.027,     0.017,     0.095,     0.087,     0.098,     0.057,     0.044,     0.060,     0.045,     0.027,     0.065,     0.023,     0.056,     0.009,     0.062,     0.074,     0.082,     0.138,     0.090,     0.088,     0.069
DOWN ,     4.453,     3.565,     2.027,     1.667,     1.929,     2.136,     1.731,     1.132,     0.726,     0.362,     0.290,     0.449,     0.153,     0.189,     0.181,     0.208,     0.171,     0.111,     0.163,     0.086,     0.122,     0.158,     0.183,     0.101,     0.093,     0.063,     0.084,     0.071,     0.026,     0.081,     0.132,     0.133,     0.132,     0.073,     0.113,     0.020,     0.069,     0.088,     0.094,     0.016,     0.047,     0.115,     0.088,     0.038,     0.077,     0.202,     0.128,     0.148,     0.038,     0.074,     0.072,     0.101,     0.060,     0.047,     0.085,     0.042,     0.102,     0.140,     0.052,     0.073,     0.035,     0.037,     0.088,     0.084,     0.094,     0.136,     0.093,     0.071,     0.058,     0.049,     0.080,     0.212,     0.213,     0.171
UP ,     4.101,     3.121,     1.654,     1.898,     1.947,     1.460,     0.833,     0.488,     0.403,     0.412,     0.339,     0.443,     0.191,     0.081,     0.085,     0.360,     0.131,     0.088,     0.211,     0.484,     0.370,     0.190,     0.037,     0.402,     0.135,     0.089,     0.228,     0.442,     0.101,     0.092,     0.390,     0.147,     0.079,     0.196,     0.321,     0.295,     0.263,     0.043,     0.081,     0.085,     0.203,     0.131,     0.068,     0.042,     0.046,     0.103,     0.018,     0.352,     0.178,     0.202,     0.384,     0.162,     0.129,     0.058,     0.264,     0.275,     0.143,     0.149,     0.285,     0.058,     0.114,     0.140,     0.117,     0.077,     0.036,     0.046,     0.127,     0.100,     0.226,     0.239,     0.206,     0.308,     0.566,     0.475
DOWN ,     3.256,     1.510,     1.132,     1.177,     0.503,     0.118,     0.245,     0.232,     0.047,     0.039,     0.020,     0.047,     0.164,     0.151,     0.078,     0.135,     0.135,     0.154,     0.169,     0.063,     0.056,     0.114,     0.262,     0.229,     0.212,     0.125,     0.145,     0.166,     0.094,     0.064,     0.051,     0.088,     0.121,     0.124,     0.090,     0.092,     0.076,     0.014,     0.022,     0.106,     0.142,     0.159,     0.136,     0.126,     0.139,     0.138,     0.199,     0.045,     0.111,     0.116,     0.097,     0.097,     0.082,     0.082,     0.009,     0.100,     0.044,     0.121,     0.180,     0.078,     0.008,     0.090,     0.157,     0.112,     0.104,     0.057,     0.115,     0.193,     0.108,     0.119,     0.007,     0.042,     0.144,     0.104
UP ,     4.412,     2.305,     1.837,     0.598,     0.257,     0.598,     0.465,     0.502,     0.581,     0.364,     0.299,     0.086,     0.122,     0.184,     0.224,     0.043,     0.033,     0.169,     0.340,     0.119,     0.164,     0.357,     0.146,     0.310,     0.266,     0.094,     0.133,     0.253,     0.237,     0.103,     0.142,     0.021,     0.077,     0.182,     0.103,     0.077,     0.059,     0.042,     0.056,     0.266,     0.090,     0.147,     0.172,     0.232,     0.051,     0.286,     0.147,     0.041,     0.150,     0.135,     0.220,     0.114,     0.042,     0.050,     0.193,     0.124,     0.153,     0.294,     0.152,     0.095,     0.106,     0.103,     0.239,     0.140,     0.049,     0.204,     0.456,     0.423,     0.268,     0.242,     0.204,     0.198,     0.028,     0.250
DOWN ,     4.058,     1.859,     1.266,     2.579,     2.251,     1.127,     0.614,     0.395,     0.548,     0.373,     0.473,     0.240,     0.227,     0.085,     0.201,     0.500,     0.216,     0.164,     0.071,     0.032,     0.062,     0.045,     0.066,     0.194,     0.148,     0.155,     0.080,     0.111,     0.135,     0.147,     0.123,     0.070,     0.141,     0.033,     0.029,     0.057,     0.117,     0.062,     0.066,     0.114,     0.082,     0.086,     0.138,     0.105,     0.071,     0.062,     0.039,     0.079,     0.042,     0.071,     0.052,     0.067,     0.029,     0.041,     0.186,     0.098,     0.117,     0.097,     0.118,     0.074,     0.119,     0.065,     0.123,     0.071,     0.095,     0.047,     0.023,     0.031,     0.086,     0.096,     0.055,     0.111,     0.058,     0.022
UP ,     4.914,     4.918,     3.408,     1.325,     1.154,     0.605,     0.352,     0.436,     0.399,     0.282,     0.289,     0.300,     0.565,     0.691,     0.184,     0.183,     0.100,     0.211,     0.395,     0.286,     0.114,     0.003,     0.232,     0.225,     0.349,     0.300,     0.123,     0.187,     0.140,     0.053,     0.149,     0.259,     0.320,     0.199,     0.345,     0.175,     0.264,     0.137,     0.056,     0.081,     0.137,     0.347,     0.223,     0.011,     0.050,     0.222,     0.299,     0.101,     0.043,     0.127,     0.167,     0.177,     0.211,     0.200,     0.322,     0.254,     0.246,     0.238,     0.162,     0.069,     0.063,     0.178,     0.150,     0.073,     0.099,     0.105,     0.186,     0.185,     0.116,     0.073,     0.132,     0.167,     0.232,     0.261
DOWN ,     3.761,     3.848,     3.966,     3.693,     2.911,     1.253,     0.497,     0.445,     0.383,     0.294,     0.432,     0.157,     0.207,     0.307,     0.338,     0.299,     0.210,     0.232,     0.431,     0.176,     0.097,     0.170,     0.239,     0.253,     0.174,     0.108,     0.122,     0.178,     0.114,     0.039,     0.024,     0.099,     0.012,     0.107,     0.198,     0.200,     0.122,     0.184,     0.141,     0.165,     0.132,     0.122,     0.035,     0.042,     0.011,     0.165,     0.034,     0.076,     0.105,     0.083,     0.071,     0.111,     0.060,     0.076,     0.075,     0.101,     0.068,     0.071,     0.020,     0.034,     0.073,     0.098,     0.069,     0.068,     0.128,     0.045,     0.022,     0.062,     0.049,     0.059,     0.063,     0.054,     0.126,     0.106
UP ,     5.047,     4.391,     3.082,     1.722,     1.408,     0.717,     0.404,     0.226,     0.108,     0.123,     0.155,     0.381,     0.563,     0.579,     0.508,     0.090,     0.202,     0.186,     0.162,     0.505,     0.845,     0.597,     0.303,     0.081,     0.116,     0.360,     0.257,     0.308,     0.457,     0.391,     0.348,     0.246,     0.294,     0.150,     0.231,     0.365,     0.428,     0.308,     0.447,     0.220,     0.333,     0.072,     0.197,     0.135,     0.136,     0.149,     0.279,     0.215,     0.249,     0.232,     0.237,     0.156,     0.054,     0.205,     0.182,     0.332,     0.411,     0.256,     0.415,     0.389,     0.055,     0.235,     0.229,     0.204,     0.269,     0.247,     0.065,     0.108,     0.137,     0.224,     0.326,     0.252,     0.170,     0.113
DOWN ,     3.878,     4.623,     3.623,     2.532,     2.710,     2.517,     1.565,     1.369,     0.972,     0.964,     0.884,     0.242,     0.375,     0.022,     0.309,     0.239,     0.224,     0.419,     0.267,     0.279,     0.186,     0.098,     0.333,     0.032,     0.254,     0.092,     0.090,     0.134,     0.236,     0.070,     0.145,     0.064,     0.131,     0.053,     0.080,     0.078,     0.084,     0.077,     0.028,     0.015,     0.124,     0.054,     0.065,     0.105,     0.053,     0.020,     0.087,     0.039,     0.041,     0.096,     0.107,     0.086,     0.155,     0.090,     0.079,     0.139,     0.059,     0.028,     0.051,     0.119,     0.079,     0.015,     0.085,     0.032,     0.014,     0.144,     0.077,     0.073,     0.116,     0.138,     0.051,     0.052,     0.114,     0.043
