@RELATION UP_DOWN
@ATTRIBUTE  class {UP,DOWN}
@ATTRIBUTE 0.0 numeric
@ATTRIBUTE 6.75675675676 numeric
@ATTRIBUTE 13.5135135135 numeric
@ATTRIBUTE 20.2702702703 numeric
@ATTRIBUTE 27.027027027 numeric
@ATTRIBUTE 33.7837837838 numeric
@ATTRIBUTE 40.5405405405 numeric
@ATTRIBUTE 47.2972972973 numeric
@ATTRIBUTE 54.0540540541 numeric
@ATTRIBUTE 60.8108108108 numeric
@ATTRIBUTE 67.5675675676 numeric
@ATTRIBUTE 74.3243243243 numeric
@ATTRIBUTE 81.0810810811 numeric
@ATTRIBUTE 87.8378378378 numeric
@ATTRIBUTE 94.5945945946 numeric
@ATTRIBUTE 101.351351351 numeric
@ATTRIBUTE 108.108108108 numeric
@ATTRIBUTE 114.864864865 numeric
@ATTRIBUTE 121.621621622 numeric
@ATTRIBUTE 128.378378378 numeric
@ATTRIBUTE 135.135135135 numeric
@ATTRIBUTE 141.891891892 numeric
@ATTRIBUTE 148.648648649 numeric
@ATTRIBUTE 155.405405405 numeric
@ATTRIBUTE 162.162162162 numeric
@ATTRIBUTE 168.918918919 numeric
@ATTRIBUTE 175.675675676 numeric
@ATTRIBUTE 182.432432432 numeric
@ATTRIBUTE 189.189189189 numeric
@ATTRIBUTE 195.945945946 numeric
@ATTRIBUTE 202.702702703 numeric
@ATTRIBUTE 209.459459459 numeric
@ATTRIBUTE 216.216216216 numeric
@ATTRIBUTE 222.972972973 numeric
@ATTRIBUTE 229.72972973 numeric
@ATTRIBUTE 236.486486486 numeric
@ATTRIBUTE 243.243243243 numeric
@ATTRIBUTE 250.0 numeric
@ATTRIBUTE 256.756756757 numeric
@ATTRIBUTE 263.513513514 numeric
@ATTRIBUTE 270.27027027 numeric
@ATTRIBUTE 277.027027027 numeric
@ATTRIBUTE 283.783783784 numeric
@ATTRIBUTE 290.540540541 numeric
@ATTRIBUTE 297.297297297 numeric
@ATTRIBUTE 304.054054054 numeric
@ATTRIBUTE 310.810810811 numeric
@ATTRIBUTE 317.567567568 numeric
@ATTRIBUTE 324.324324324 numeric
@ATTRIBUTE 331.081081081 numeric
@ATTRIBUTE 337.837837838 numeric
@ATTRIBUTE 344.594594595 numeric
@ATTRIBUTE 351.351351351 numeric
@ATTRIBUTE 358.108108108 numeric
@ATTRIBUTE 364.864864865 numeric
@ATTRIBUTE 371.621621622 numeric
@ATTRIBUTE 378.378378378 numeric
@ATTRIBUTE 385.135135135 numeric
@ATTRIBUTE 391.891891892 numeric
@ATTRIBUTE 398.648648649 numeric
@ATTRIBUTE 405.405405405 numeric
@ATTRIBUTE 412.162162162 numeric
@ATTRIBUTE 418.918918919 numeric
@ATTRIBUTE 425.675675676 numeric
@ATTRIBUTE 432.432432432 numeric
@ATTRIBUTE 439.189189189 numeric
@ATTRIBUTE 445.945945946 numeric
@ATTRIBUTE 452.702702703 numeric
@ATTRIBUTE 459.459459459 numeric
@ATTRIBUTE 466.216216216 numeric
@ATTRIBUTE 472.972972973 numeric
@ATTRIBUTE 479.72972973 numeric
@ATTRIBUTE 486.486486486 numeric
@ATTRIBUTE 493.243243243 numeric
@DATA
UP ,    46.173,    29.118,    20.550,    18.043,    15.078,     9.230,     4.058,     0.808,     1.367,     1.403,     0.777,     0.140,     0.747,     0.456,     0.228,     0.889,     0.973,     0.959,     0.598,     0.390,     0.453,     0.262,     0.052,     0.356,     0.560,     0.790,     0.764,     0.538,     0.392,     0.226,     0.400,     0.408,     0.083,     0.097,     0.209,     0.352,     0.471,     0.380,     0.383,     0.303,     0.292,     0.143,     0.237,     0.159,     0.244,     0.237,     0.242,     0.168,     0.104,     0.074,     0.119,     0.109,     0.191,     0.280,     0.198,     0.056,     0.193,     0.176,     0.167,     0.279,     0.327,     0.402,     0.426,     0.371,     0.427,     0.377,     0.343,     0.527,     0.413,     0.422,     0.276,     0.198,     0.107,     0.169
UP ,    52.561,    35.690,    24.213,    17.087,    11.142,     5.596,     1.495,     2.266,     2.999,     2.067,     1.367,     0.749,     0.542,     0.006,     0.311,     0.772,     1.041,     0.667,     0.283,     0.301,     0.632,     0.641,     0.762,     0.259,     0.096,     0.385,     0.254,     0.515,     0.220,     0.303,     0.328,     0.397,     0.419,     0.198,     0.293,     0.241,     0.401,     0.333,     0.220,     0.219,     0.126,     0.082,     0.053,     0.043,     0.195,     0.214,     0.268,     0.184,     0.157,     0.096,     0.282,     0.269,     0.296,     0.243,     0.240,     0.080,     0.202,     0.174,     0.151,     0.331,     0.145,     0.208,     0.361,     0.364,     0.365,     0.175,     0.313,     0.348,     0.229,     0.197,     0.189,     0.188,     0.201,     0.128
UP ,    40.019,    28.073,    20.863,    17.448,    12.953,     5.967,     1.484,     2.685,     3.092,     3.251,     2.493,     1.720,     0.613,     0.689,     0.436,     0.183,     0.579,     0.723,     0.782,     0.440,     0.200,     0.481,     0.908,     0.877,     0.497,     0.127,     0.316,     0.726,     0.619,     0.449,     0.405,     0.207,     0.348,     0.493,     0.365,     0.297,     0.392,     0.193,     0.345,     0.445,     0.242,     0.374,     0.078,     0.156,     0.288,     0.316,     0.490,     0.467,     0.397,     0.241,     0.339,     0.625,     0.406,     0.358,     0.344,     0.161,     0.299,     0.260,     0.149,     0.226,     0.443,     0.622,     0.509,     0.478,     0.411,     0.411,     0.437,     0.625,     0.583,     0.521,     0.475,     0.520,     0.333,     0.359
UP ,    41.648,    31.691,    24.888,    22.339,    18.629,    12.607,     7.215,     4.303,     5.001,     5.169,     4.075,     2.447,     0.840,     0.692,     0.659,     0.166,     0.324,     0.399,     0.209,     0.525,     0.816,     1.005,     0.614,     0.361,     0.300,     0.310,     0.176,     0.146,     0.179,     0.301,     0.215,     0.219,     0.433,     0.559,     0.552,     0.348,     0.154,     0.178,     0.174,     0.257,     0.230,     0.190,     0.270,     0.186,     0.309,     0.250,     0.283,     0.252,     0.123,     0.069,     0.153,     0.128,     0.235,     0.270,     0.247,     0.334,     0.335,     0.339,     0.433,     0.415,     0.413,     0.319,     0.158,     0.008,     0.127,     0.082,     0.107,     0.051,     0.180,     0.210,     0.334,     0.178,     0.200,     0.275
UP ,    30.766,    20.075,    14.653,    15.869,    21.368,    21.977,    18.129,    12.759,     9.150,     8.703,     8.720,     7.863,     6.058,     4.185,     3.553,     3.681,     3.853,     3.228,     2.016,     1.094,     2.065,     2.831,     2.983,     2.035,     1.212,     1.437,     2.158,     2.365,     1.810,     1.377,     0.915,     0.982,     1.148,     1.260,     1.169,     0.739,     0.185,     0.511,     0.592,     0.678,     0.729,     0.443,     0.273,     0.349,     0.310,     0.237,     0.281,     0.417,     0.390,     0.327,     0.333,     0.264,     0.348,     0.115,     0.186,     0.422,     0.469,     0.406,     0.600,     0.589,     0.445,     0.294,     0.303,     0.540,     0.578,     0.514,     0.203,     0.164,     0.138,     0.205,     0.296,     0.350,     0.610,     0.609
UP ,    34.925,    23.776,    20.416,    21.031,    21.253,    14.669,     7.985,     5.845,     7.971,     5.796,     3.115,     3.338,     4.181,     3.531,     2.263,     3.594,     4.553,     4.003,     2.750,     1.798,     2.044,     1.793,     1.089,     0.913,     0.777,     0.746,     0.631,     0.868,     1.009,     0.491,     0.614,     0.875,     1.169,     0.913,     0.440,     0.492,     0.803,     0.669,     0.347,     0.327,     0.630,     0.338,     0.080,     0.382,     0.672,     0.568,     0.343,     0.344,     0.643,     0.613,     0.379,     0.293,     0.374,     0.265,     0.107,     0.233,     0.325,     0.218,     0.234,     0.287,     0.240,     0.258,     0.033,     0.216,     0.513,     0.732,     0.556,     0.182,     0.058,     0.234,     0.148,     0.089,     0.287,     0.153
UP ,    39.319,    26.720,    22.978,    25.041,    23.838,    17.324,     9.365,     5.273,     5.810,     5.122,     2.231,     1.675,     2.786,     2.386,     1.755,     2.210,     2.755,     2.693,     2.261,     1.802,     1.358,     1.285,     0.843,     0.432,     0.140,     0.488,     0.597,     0.586,     0.541,     0.451,     0.497,     0.263,     0.140,     0.555,     0.682,     0.688,     0.453,     0.485,     0.330,     0.366,     0.213,     0.534,     0.739,     0.609,     0.352,     0.499,     0.358,     0.478,     0.486,     0.401,     0.300,     0.081,     0.216,     0.183,     0.163,     0.228,     0.199,     0.009,     0.142,     0.209,     0.293,     0.347,     0.374,     0.424,     0.477,     0.624,     0.490,     0.318,     0.469,     0.242,     0.555,     0.200,     0.183,     0.263
UP ,    34.519,    28.827,    24.735,    21.303,    19.098,    12.978,     7.379,     5.577,     5.034,     3.449,     1.131,     1.306,     2.014,     1.510,     1.680,     2.693,     3.425,     2.756,     2.152,     2.059,     2.304,     1.501,     0.632,     1.004,     1.338,     1.047,     0.370,     0.709,     1.041,     0.815,     0.598,     0.626,     0.703,     0.594,     0.523,     0.596,     0.768,     0.428,     0.080,     0.490,     0.741,     0.675,     0.261,     0.123,     0.374,     0.269,     0.060,     0.102,     0.291,     0.310,     0.020,     0.274,     0.432,     0.353,     0.130,     0.400,     0.520,     0.555,     0.423,     0.211,     0.208,     0.241,     0.173,     0.181,     0.188,     0.072,     0.112,     0.132,     0.360,     0.167,     0.143,     0.153,     0.276,     0.265
UP ,    32.254,    19.151,    14.302,    17.383,    22.585,    20.651,    16.902,    11.104,     8.318,     7.010,     6.165,     5.243,     3.772,     3.918,     3.099,     2.716,     2.322,     2.805,     2.687,     2.342,     1.905,     2.072,     2.317,     2.235,     1.966,     1.819,     1.881,     1.645,     1.481,     1.254,     0.941,     0.687,     0.501,     0.637,     0.504,     0.350,     0.452,     0.556,     0.325,     0.489,     0.443,     0.570,     0.830,     0.730,     0.396,     0.434,     0.526,     0.557,     0.381,     0.093,     0.402,     0.627,     0.469,     0.315,     0.202,     0.240,     0.283,     0.273,     0.341,     0.413,     0.526,     0.454,     0.314,     0.215,     0.296,     0.365,     0.396,     0.309,     0.540,     0.341,     0.582,     0.463,     0.359,     0.262
UP ,    29.438,    23.747,    18.002,    18.716,    19.718,    15.449,     8.584,     6.779,     6.274,     3.783,     2.612,     2.988,     3.002,     2.526,     2.170,     3.118,     3.706,     3.274,     2.565,     2.609,     2.864,     2.327,     1.606,     1.442,     1.589,     1.285,     0.737,     0.788,     1.283,     1.245,     0.691,     0.727,     0.902,     0.768,     0.782,     0.721,     0.920,     0.925,     0.496,     0.531,     0.666,     0.743,     0.509,     0.272,     0.528,     0.788,     0.505,     0.200,     0.103,     0.260,     0.190,     0.085,     0.297,     0.449,     0.461,     0.135,     0.121,     0.485,     0.596,     0.557,     0.197,     0.148,     0.312,     0.259,     0.254,     0.148,     0.341,     0.474,     0.257,     0.076,     0.093,     0.263,     0.257,     0.142
