@RELATION UP_DOWN
@ATTRIBUTE  class {UP,DOWN}
@ATTRIBUTE 0.0 numeric
@ATTRIBUTE 8.47457627119 numeric
@ATTRIBUTE 16.9491525424 numeric
@ATTRIBUTE 25.4237288136 numeric
@ATTRIBUTE 33.8983050847 numeric
@ATTRIBUTE 42.3728813559 numeric
@ATTRIBUTE 50.8474576271 numeric
@ATTRIBUTE 59.3220338983 numeric
@ATTRIBUTE 67.7966101695 numeric
@ATTRIBUTE 76.2711864407 numeric
@ATTRIBUTE 84.7457627119 numeric
@ATTRIBUTE 93.2203389831 numeric
@ATTRIBUTE 101.694915254 numeric
@ATTRIBUTE 110.169491525 numeric
@ATTRIBUTE 118.644067797 numeric
@ATTRIBUTE 127.118644068 numeric
@ATTRIBUTE 135.593220339 numeric
@ATTRIBUTE 144.06779661 numeric
@ATTRIBUTE 152.542372881 numeric
@ATTRIBUTE 161.016949153 numeric
@ATTRIBUTE 169.491525424 numeric
@ATTRIBUTE 177.966101695 numeric
@ATTRIBUTE 186.440677966 numeric
@ATTRIBUTE 194.915254237 numeric
@ATTRIBUTE 203.389830508 numeric
@ATTRIBUTE 211.86440678 numeric
@ATTRIBUTE 220.338983051 numeric
@ATTRIBUTE 228.813559322 numeric
@ATTRIBUTE 237.288135593 numeric
@ATTRIBUTE 245.762711864 numeric
@ATTRIBUTE 254.237288136 numeric
@ATTRIBUTE 262.711864407 numeric
@ATTRIBUTE 271.186440678 numeric
@ATTRIBUTE 279.661016949 numeric
@ATTRIBUTE 288.13559322 numeric
@ATTRIBUTE 296.610169492 numeric
@ATTRIBUTE 305.084745763 numeric
@ATTRIBUTE 313.559322034 numeric
@ATTRIBUTE 322.033898305 numeric
@ATTRIBUTE 330.508474576 numeric
@ATTRIBUTE 338.983050847 numeric
@ATTRIBUTE 347.457627119 numeric
@ATTRIBUTE 355.93220339 numeric
@ATTRIBUTE 364.406779661 numeric
@ATTRIBUTE 372.881355932 numeric
@ATTRIBUTE 381.355932203 numeric
@ATTRIBUTE 389.830508475 numeric
@ATTRIBUTE 398.305084746 numeric
@ATTRIBUTE 406.779661017 numeric
@ATTRIBUTE 415.254237288 numeric
@ATTRIBUTE 423.728813559 numeric
@ATTRIBUTE 432.203389831 numeric
@ATTRIBUTE 440.677966102 numeric
@ATTRIBUTE 449.152542373 numeric
@ATTRIBUTE 457.627118644 numeric
@ATTRIBUTE 466.101694915 numeric
@ATTRIBUTE 474.576271186 numeric
@ATTRIBUTE 483.050847458 numeric
@ATTRIBUTE 491.525423729 numeric
@DATA
DOWN ,    27.840,    26.687,    16.217,     8.645,     7.274,     4.357,     3.214,     3.081,     1.044,     1.160,     0.483,     0.779,     1.104,     0.682,     0.408,     0.249,     0.390,     0.385,     0.308,     0.123,     0.245,     0.262,     0.145,     0.403,     0.450,     0.521,     0.285,     0.129,     0.227,     0.234,     0.409,     0.108,     0.200,     0.061,     0.159,     0.255,     0.401,     0.382,     0.308,     0.168,     0.080,     0.211,     0.206,     0.093,     0.112,     0.102,     0.175,     0.210,     0.315,     0.296,     0.214,     0.150,     0.162,     0.288,     0.199,     0.170,     0.078,     0.132,     0.261
UP ,    23.951,    24.111,    16.281,     8.828,     5.166,     3.251,     1.630,     0.896,     0.203,     0.734,     1.232,     1.272,     1.280,     1.537,     1.369,     1.038,     0.583,     0.137,     0.137,     0.108,     0.205,     0.309,     0.358,     0.276,     0.297,     0.270,     0.213,     0.318,     0.229,     0.206,     0.241,     0.352,     0.225,     0.188,     0.072,     0.123,     0.101,     0.216,     0.027,     0.243,     0.329,     0.077,     0.226,     0.177,     0.203,     0.067,     0.186,     0.193,     0.203,     0.127,     0.321,     0.138,     0.080,     0.263,     0.237,     0.141,     0.089,     0.269,     0.261
DOWN ,    43.354,    38.922,    26.778,    11.581,     9.290,     4.422,     4.266,     2.642,     1.850,     1.595,     1.129,     0.338,     0.141,     0.897,     0.499,     0.264,     0.235,     0.208,     0.217,     0.443,     0.229,     0.169,     0.197,     0.245,     0.090,     0.286,     0.050,     0.112,     0.182,     0.129,     0.080,     0.193,     0.085,     0.106,     0.091,     0.017,     0.124,     0.140,     0.101,     0.098,     0.125,     0.154,     0.087,     0.263,     0.181,     0.184,     0.337,     0.246,     0.244,     0.196,     0.107,     0.137,     0.082,     0.130,     0.109,     0.178,     0.180,     0.346,     0.320
DOWN ,    49.512,    43.111,    28.892,    18.998,    11.572,     7.960,     5.346,     3.135,     2.297,     1.046,     0.639,     0.482,     0.647,     0.787,     0.701,     0.373,     0.530,     0.538,     0.387,     0.130,     0.133,     0.117,     0.101,     0.047,     0.137,     0.126,     0.174,     0.129,     0.140,     0.130,     0.086,     0.168,     0.135,     0.083,     0.116,     0.051,     0.215,     0.242,     0.247,     0.122,     0.232,     0.312,     0.106,     0.157,     0.075,     0.210,     0.099,     0.127,     0.250,     0.252,     0.212,     0.280,     0.441,     0.365,     0.252,     0.354,     0.350,     0.251,     0.255
DOWN ,    51.105,    44.737,    30.445,    18.926,    12.086,     7.290,     5.335,     3.292,     2.169,     1.571,     0.794,     0.048,     0.572,     0.778,     0.702,     0.433,     0.178,     0.139,     0.340,     0.283,     0.123,     0.110,     0.122,     0.053,     0.100,     0.091,     0.162,     0.015,     0.235,     0.267,     0.143,     0.063,     0.167,     0.170,     0.033,     0.080,     0.222,     0.075,     0.114,     0.121,     0.091,     0.041,     0.068,     0.195,     0.393,     0.304,     0.311,     0.268,     0.235,     0.137,     0.125,     0.220,     0.163,     0.061,     0.094,     0.226,     0.272,     0.190,     0.268
UP ,    47.029,    36.804,    27.689,    11.954,     5.477,     4.171,     1.619,     2.154,     1.865,     0.630,     0.636,     0.883,     0.511,     0.983,     0.969,     0.807,     0.261,     0.696,     0.466,     0.342,     0.131,     0.156,     0.119,     0.060,     0.253,     0.036,     0.201,     0.295,     0.230,     0.298,     0.126,     0.130,     0.239,     0.362,     0.380,     0.187,     0.196,     0.360,     0.284,     0.403,     0.418,     0.194,     0.225,     0.265,     0.459,     0.359,     0.002,     0.316,     0.184,     0.093,     0.442,     0.395,     0.318,     0.487,     0.369,     0.271,     0.143,     0.322,     0.367
DOWN ,    31.774,    27.176,    27.787,    21.860,    15.042,     8.266,     2.694,     1.282,     3.053,     3.430,     2.705,     2.223,     1.476,     1.378,     1.687,     1.459,     1.336,     1.042,     0.902,     0.886,     0.979,     1.136,     1.074,     1.035,     1.002,     1.109,     1.109,     1.063,     0.855,     0.854,     0.866,     0.797,     0.824,     0.767,     0.833,     0.769,     0.724,     0.651,     0.698,     0.598,     0.670,     0.580,     0.692,     0.658,     0.729,     0.639,     0.625,     0.669,     0.545,     0.627,     0.541,     0.572,     0.507,     0.653,     0.700,     0.511,     0.556,     0.575,     0.522
UP ,    45.260,    25.405,    10.972,     5.537,     3.540,     1.999,     1.120,     1.250,     1.044,     0.789,     0.118,     0.178,     0.340,     0.427,     1.069,     1.156,     0.949,     0.883,     0.659,     0.246,     0.036,     0.409,     0.293,     0.094,     0.312,     0.135,     0.064,     0.130,     0.256,     0.114,     0.054,     0.059,     0.083,     0.208,     0.115,     0.297,     0.092,     0.093,     0.134,     0.162,     0.174,     0.231,     0.228,     0.171,     0.289,     0.277,     0.076,     0.112,     0.175,     0.062,     0.114,     0.050,     0.196,     0.032,     0.038,     0.189,     0.271,     0.291,     0.224
DOWN ,    43.111,    40.404,    29.415,    22.775,    15.352,     7.659,     3.603,     1.408,     0.581,     1.246,     1.518,     1.476,     1.037,     0.868,     0.213,     0.596,     0.749,     0.603,     0.701,     0.502,     0.409,     0.348,     0.437,     0.320,     0.275,     0.393,     0.244,     0.284,     0.192,     0.202,     0.280,     0.278,     0.090,     0.232,     0.210,     0.249,     0.226,     0.054,     0.138,     0.291,     0.173,     0.138,     0.082,     0.174,     0.262,     0.222,     0.256,     0.275,     0.186,     0.241,     0.185,     0.318,     0.294,     0.239,     0.258,     0.290,     0.224,     0.306,     0.421
DOWN ,    66.262,    54.843,    35.000,    23.293,    16.328,    11.489,     7.464,     3.521,     1.465,     1.211,     1.059,     0.470,     0.308,     0.836,     0.406,     0.746,     0.904,     0.399,     0.774,     0.440,     0.253,     0.292,     0.039,     0.131,     0.226,     0.143,     0.146,     0.053,     0.187,     0.045,     0.229,     0.169,     0.104,     0.191,     0.239,     0.278,     0.120,     0.122,     0.092,     0.084,     0.062,     0.059,     0.082,     0.189,     0.155,     0.106,     0.046,     0.102,     0.151,     0.116,     0.036,     0.131,     0.112,     0.103,     0.077,     0.085,     0.039,     0.155,     0.042
