@RELATION UP_DOWN
@ATTRIBUTE  class {OPEN,CLOSE}
@ATTRIBUTE 0.0 numeric
@ATTRIBUTE 8.47457627119 numeric
@ATTRIBUTE 16.9491525424 numeric
@ATTRIBUTE 25.4237288136 numeric
@ATTRIBUTE 33.8983050847 numeric
@ATTRIBUTE 42.3728813559 numeric
@ATTRIBUTE 50.8474576271 numeric
@ATTRIBUTE 59.3220338983 numeric
@ATTRIBUTE 67.7966101695 numeric
@ATTRIBUTE 76.2711864407 numeric
@ATTRIBUTE 84.7457627119 numeric
@ATTRIBUTE 93.2203389831 numeric
@ATTRIBUTE 101.694915254 numeric
@ATTRIBUTE 110.169491525 numeric
@ATTRIBUTE 118.644067797 numeric
@ATTRIBUTE 127.118644068 numeric
@ATTRIBUTE 135.593220339 numeric
@ATTRIBUTE 144.06779661 numeric
@ATTRIBUTE 152.542372881 numeric
@ATTRIBUTE 161.016949153 numeric
@ATTRIBUTE 169.491525424 numeric
@ATTRIBUTE 177.966101695 numeric
@ATTRIBUTE 186.440677966 numeric
@ATTRIBUTE 194.915254237 numeric
@ATTRIBUTE 203.389830508 numeric
@ATTRIBUTE 211.86440678 numeric
@ATTRIBUTE 220.338983051 numeric
@ATTRIBUTE 228.813559322 numeric
@ATTRIBUTE 237.288135593 numeric
@ATTRIBUTE 245.762711864 numeric
@ATTRIBUTE 254.237288136 numeric
@ATTRIBUTE 262.711864407 numeric
@ATTRIBUTE 271.186440678 numeric
@ATTRIBUTE 279.661016949 numeric
@ATTRIBUTE 288.13559322 numeric
@ATTRIBUTE 296.610169492 numeric
@ATTRIBUTE 305.084745763 numeric
@ATTRIBUTE 313.559322034 numeric
@ATTRIBUTE 322.033898305 numeric
@ATTRIBUTE 330.508474576 numeric
@ATTRIBUTE 338.983050847 numeric
@ATTRIBUTE 347.457627119 numeric
@ATTRIBUTE 355.93220339 numeric
@ATTRIBUTE 364.406779661 numeric
@ATTRIBUTE 372.881355932 numeric
@ATTRIBUTE 381.355932203 numeric
@ATTRIBUTE 389.830508475 numeric
@ATTRIBUTE 398.305084746 numeric
@ATTRIBUTE 406.779661017 numeric
@ATTRIBUTE 415.254237288 numeric
@ATTRIBUTE 423.728813559 numeric
@ATTRIBUTE 432.203389831 numeric
@ATTRIBUTE 440.677966102 numeric
@ATTRIBUTE 449.152542373 numeric
@ATTRIBUTE 457.627118644 numeric
@ATTRIBUTE 466.101694915 numeric
@ATTRIBUTE 474.576271186 numeric
@ATTRIBUTE 483.050847458 numeric
@ATTRIBUTE 491.525423729 numeric
@DATA
CLOSE ,     1.807,     1.260,     0.695,     0.446,     0.445,     0.307,     0.263,     0.296,     0.300,     0.199,     0.261,     0.262,     0.300,     0.242,     0.230,     0.162,     0.187,     0.297,     0.295,     0.209,     0.189,     0.081,     0.141,     0.147,     0.099,     0.202,     0.055,     0.046,     0.075,     0.147,     0.091,     0.192,     0.230,     0.148,     0.170,     0.039,     0.054,     0.222,     0.087,     0.074,     0.136,     0.107,     0.132,     0.161,     0.115,     0.035,     0.102,     0.166,     0.033,     0.013,     0.166,     0.106,     0.070,     0.123,     0.081,     0.144,     0.084,     0.115,     0.043
OPEN ,     1.331,     1.699,     1.791,     1.810,     1.401,     1.106,     0.831,     0.749,     0.772,     0.672,     0.558,     0.443,     0.262,     0.257,     0.334,     0.365,     0.329,     0.386,     0.177,     0.282,     0.310,     0.338,     0.216,     0.263,     0.133,     0.108,     0.209,     0.181,     0.088,     0.100,     0.080,     0.153,     0.084,     0.018,     0.080,     0.102,     0.128,     0.086,     0.130,     0.063,     0.047,     0.050,     0.050,     0.055,     0.080,     0.081,     0.070,     0.002,     0.073,     0.034,     0.162,     0.106,     0.052,     0.035,     0.061,     0.092,     0.046,     0.087,     0.079
CLOSE ,     1.736,     1.656,     0.891,     0.538,     0.300,     0.179,     0.109,     0.149,     0.268,     0.221,     0.236,     0.146,     0.220,     0.172,     0.109,     0.129,     0.148,     0.160,     0.171,     0.107,     0.266,     0.167,     0.086,     0.174,     0.186,     0.204,     0.290,     0.276,     0.266,     0.229,     0.196,     0.186,     0.276,     0.221,     0.133,     0.182,     0.209,     0.161,     0.128,     0.150,     0.110,     0.115,     0.060,     0.148,     0.119,     0.082,     0.071,     0.044,     0.028,     0.098,     0.104,     0.225,     0.065,     0.112,     0.069,     0.086,     0.152,     0.170,     0.271
OPEN ,     1.682,     1.768,     1.301,     1.140,     0.850,     0.771,     0.815,     0.817,     0.725,     0.678,     0.672,     0.465,     0.463,     0.407,     0.367,     0.422,     0.321,     0.436,     0.205,     0.206,     0.291,     0.218,     0.265,     0.105,     0.174,     0.209,     0.093,     0.042,     0.187,     0.273,     0.165,     0.202,     0.099,     0.009,     0.121,     0.125,     0.144,     0.127,     0.103,     0.091,     0.147,     0.067,     0.089,     0.103,     0.109,     0.107,     0.040,     0.126,     0.117,     0.140,     0.042,     0.086,     0.150,     0.140,     0.099,     0.070,     0.084,     0.106,     0.162
CLOSE ,     3.338,     2.647,     1.202,     0.498,     0.576,     0.504,     0.322,     0.169,     0.077,     0.062,     0.180,     0.117,     0.140,     0.062,     0.192,     0.172,     0.179,     0.181,     0.118,     0.029,     0.036,     0.148,     0.137,     0.185,     0.099,     0.114,     0.162,     0.046,     0.186,     0.130,     0.123,     0.106,     0.098,     0.116,     0.042,     0.138,     0.221,     0.082,     0.115,     0.034,     0.043,     0.108,     0.133,     0.006,     0.084,     0.079,     0.243,     0.102,     0.116,     0.065,     0.140,     0.119,     0.153,     0.079,     0.166,     0.139,     0.041,     0.075,     0.098
OPEN ,     2.759,     2.420,     1.728,     1.432,     1.224,     1.061,     0.896,     0.885,     0.621,     0.408,     0.547,     0.361,     0.338,     0.105,     0.056,     0.122,     0.365,     0.271,     0.225,     0.220,     0.355,     0.434,     0.201,     0.165,     0.227,     0.095,     0.210,     0.146,     0.024,     0.169,     0.114,     0.007,     0.157,     0.007,     0.103,     0.089,     0.189,     0.184,     0.069,     0.168,     0.070,     0.144,     0.168,     0.120,     0.322,     0.141,     0.192,     0.157,     0.085,     0.086,     0.171,     0.017,     0.115,     0.072,     0.077,     0.144,     0.117,     0.212,     0.165
CLOSE ,     2.299,     1.741,     1.286,     0.783,     0.576,     0.470,     0.338,     0.370,     0.375,     0.332,     0.254,     0.219,     0.261,     0.272,     0.158,     0.204,     0.327,     0.118,     0.151,     0.258,     0.290,     0.253,     0.211,     0.243,     0.269,     0.253,     0.034,     0.153,     0.243,     0.074,     0.166,     0.137,     0.129,     0.058,     0.174,     0.115,     0.259,     0.209,     0.100,     0.067,     0.095,     0.075,     0.120,     0.101,     0.012,     0.147,     0.169,     0.076,     0.122,     0.033,     0.044,     0.058,     0.082,     0.044,     0.089,     0.091,     0.132,     0.076,     0.141
OPEN ,     2.166,     1.993,     1.823,     1.272,     0.911,     0.752,     0.652,     0.626,     0.593,     0.428,     0.314,     0.276,     0.318,     0.126,     0.177,     0.183,     0.262,     0.132,     0.120,     0.115,     0.107,     0.169,     0.102,     0.121,     0.010,     0.109,     0.193,     0.128,     0.013,     0.143,     0.094,     0.083,     0.058,     0.053,     0.053,     0.083,     0.180,     0.135,     0.073,     0.020,     0.127,     0.059,     0.102,     0.086,     0.173,     0.141,     0.076,     0.045,     0.083,     0.032,     0.065,     0.102,     0.041,     0.100,     0.140,     0.081,     0.047,     0.028,     0.090
OPEN ,     0.510,     0.706,     0.915,     1.042,     0.787,     0.761,     0.594,     0.564,     0.484,     0.348,     0.315,     0.314,     0.362,     0.335,     0.325,     0.370,     0.339,     0.329,     0.272,     0.194,     0.199,     0.149,     0.159,     0.222,     0.292,     0.276,     0.174,     0.050,     0.110,     0.140,     0.098,     0.123,     0.119,     0.170,     0.053,     0.204,     0.128,     0.198,     0.062,     0.093,     0.108,     0.158,     0.099,     0.090,     0.091,     0.032,     0.063,     0.068,     0.092,     0.122,     0.018,     0.016,     0.042,     0.029,     0.070,     0.097,     0.109,     0.012,     0.061
CLOSE ,     2.886,     2.588,     1.779,     1.053,     0.722,     0.332,     0.262,     0.130,     0.248,     0.289,     0.271,     0.388,     0.224,     0.380,     0.322,     0.314,     0.241,     0.117,     0.190,     0.234,     0.164,     0.111,     0.119,     0.086,     0.258,     0.167,     0.129,     0.307,     0.135,     0.156,     0.175,     0.129,     0.088,     0.137,     0.154,     0.054,     0.025,     0.383,     0.240,     0.101,     0.068,     0.103,     0.090,     0.151,     0.094,     0.132,     0.130,     0.140,     0.033,     0.034,     0.030,     0.112,     0.032,     0.110,     0.058,     0.116,     0.090,     0.036,     0.050
