@RELATION UP_DOWN
@ATTRIBUTE  class {UP,DOWN}
@ATTRIBUTE 0.0 numeric
@ATTRIBUTE 6.75675675676 numeric
@ATTRIBUTE 13.5135135135 numeric
@ATTRIBUTE 20.2702702703 numeric
@ATTRIBUTE 27.027027027 numeric
@ATTRIBUTE 33.7837837838 numeric
@ATTRIBUTE 40.5405405405 numeric
@ATTRIBUTE 47.2972972973 numeric
@ATTRIBUTE 54.0540540541 numeric
@ATTRIBUTE 60.8108108108 numeric
@ATTRIBUTE 67.5675675676 numeric
@ATTRIBUTE 74.3243243243 numeric
@ATTRIBUTE 81.0810810811 numeric
@ATTRIBUTE 87.8378378378 numeric
@ATTRIBUTE 94.5945945946 numeric
@ATTRIBUTE 101.351351351 numeric
@ATTRIBUTE 108.108108108 numeric
@ATTRIBUTE 114.864864865 numeric
@ATTRIBUTE 121.621621622 numeric
@ATTRIBUTE 128.378378378 numeric
@ATTRIBUTE 135.135135135 numeric
@ATTRIBUTE 141.891891892 numeric
@ATTRIBUTE 148.648648649 numeric
@ATTRIBUTE 155.405405405 numeric
@ATTRIBUTE 162.162162162 numeric
@ATTRIBUTE 168.918918919 numeric
@ATTRIBUTE 175.675675676 numeric
@ATTRIBUTE 182.432432432 numeric
@ATTRIBUTE 189.189189189 numeric
@ATTRIBUTE 195.945945946 numeric
@ATTRIBUTE 202.702702703 numeric
@ATTRIBUTE 209.459459459 numeric
@ATTRIBUTE 216.216216216 numeric
@ATTRIBUTE 222.972972973 numeric
@ATTRIBUTE 229.72972973 numeric
@ATTRIBUTE 236.486486486 numeric
@ATTRIBUTE 243.243243243 numeric
@ATTRIBUTE 250.0 numeric
@ATTRIBUTE 256.756756757 numeric
@ATTRIBUTE 263.513513514 numeric
@ATTRIBUTE 270.27027027 numeric
@ATTRIBUTE 277.027027027 numeric
@ATTRIBUTE 283.783783784 numeric
@ATTRIBUTE 290.540540541 numeric
@ATTRIBUTE 297.297297297 numeric
@ATTRIBUTE 304.054054054 numeric
@ATTRIBUTE 310.810810811 numeric
@ATTRIBUTE 317.567567568 numeric
@ATTRIBUTE 324.324324324 numeric
@ATTRIBUTE 331.081081081 numeric
@ATTRIBUTE 337.837837838 numeric
@ATTRIBUTE 344.594594595 numeric
@ATTRIBUTE 351.351351351 numeric
@ATTRIBUTE 358.108108108 numeric
@ATTRIBUTE 364.864864865 numeric
@ATTRIBUTE 371.621621622 numeric
@ATTRIBUTE 378.378378378 numeric
@ATTRIBUTE 385.135135135 numeric
@ATTRIBUTE 391.891891892 numeric
@ATTRIBUTE 398.648648649 numeric
@ATTRIBUTE 405.405405405 numeric
@ATTRIBUTE 412.162162162 numeric
@ATTRIBUTE 418.918918919 numeric
@ATTRIBUTE 425.675675676 numeric
@ATTRIBUTE 432.432432432 numeric
@ATTRIBUTE 439.189189189 numeric
@ATTRIBUTE 445.945945946 numeric
@ATTRIBUTE 452.702702703 numeric
@ATTRIBUTE 459.459459459 numeric
@ATTRIBUTE 466.216216216 numeric
@ATTRIBUTE 472.972972973 numeric
@ATTRIBUTE 479.72972973 numeric
@ATTRIBUTE 486.486486486 numeric
@ATTRIBUTE 493.243243243 numeric
@DATA
UP ,     2.194,     2.223,     2.140,     1.453,     1.280,     0.516,     0.294,     0.337,     0.489,     0.142,     0.246,     0.123,     0.126,     0.023,     0.129,     0.235,     0.190,     0.323,     0.237,     0.142,     0.028,     0.058,     0.209,     0.185,     0.276,     0.086,     0.210,     0.109,     0.074,     0.095,     0.054,     0.077,     0.038,     0.071,     0.131,     0.161,     0.159,     0.217,     0.189,     0.140,     0.172,     0.082,     0.049,     0.195,     0.107,     0.240,     0.286,     0.267,     0.170,     0.058,     0.143,     0.100,     0.118,     0.076,     0.242,     0.082,     0.095,     0.172,     0.078,     0.116,     0.172,     0.207,     0.288,     0.188,     0.150,     0.192,     0.218,     0.092,     0.101,     0.129,     0.125,     0.081,     0.094,     0.037
UP ,     1.989,     1.481,     0.344,     0.807,     0.709,     0.462,     0.411,     0.526,     0.372,     0.078,     0.487,     0.480,     0.439,     0.194,     0.422,     0.258,     0.244,     0.296,     0.253,     0.289,     0.246,     0.175,     0.152,     0.240,     0.081,     0.125,     0.149,     0.270,     0.075,     0.126,     0.015,     0.104,     0.069,     0.117,     0.215,     0.139,     0.254,     0.203,     0.278,     0.396,     0.169,     0.280,     0.147,     0.186,     0.087,     0.268,     0.351,     0.326,     0.315,     0.363,     0.376,     0.032,     0.078,     0.373,     0.262,     0.124,     0.271,     0.251,     0.216,     0.170,     0.211,     0.219,     0.252,     0.145,     0.236,     0.063,     0.125,     0.197,     0.450,     0.421,     0.169,     0.448,     0.395,     0.173
UP ,     4.374,     2.676,     1.634,     1.043,     0.458,     0.488,     0.785,     0.570,     0.340,     0.241,     0.277,     0.192,     0.140,     0.165,     0.265,     0.349,     0.299,     0.252,     0.081,     0.062,     0.197,     0.124,     0.071,     0.200,     0.074,     0.106,     0.065,     0.234,     0.104,     0.164,     0.093,     0.077,     0.125,     0.150,     0.201,     0.215,     0.053,     0.102,     0.099,     0.138,     0.151,     0.173,     0.285,     0.096,     0.194,     0.140,     0.175,     0.421,     0.259,     0.358,     0.472,     0.267,     0.417,     0.185,     0.259,     0.198,     0.202,     0.225,     0.052,     0.239,     0.114,     0.072,     0.133,     0.229,     0.287,     0.257,     0.252,     0.175,     0.158,     0.115,     0.121,     0.218,     0.277,     0.287
UP ,     2.294,     0.703,     1.176,     0.810,     0.616,     0.378,     0.616,     0.588,     0.515,     0.494,     0.592,     0.507,     0.411,     0.208,     0.276,     0.343,     0.487,     0.197,     0.279,     0.375,     0.425,     0.160,     0.152,     0.147,     0.244,     0.241,     0.264,     0.263,     0.345,     0.204,     0.305,     0.303,     0.214,     0.141,     0.300,     0.348,     0.146,     0.314,     0.241,     0.529,     0.269,     0.196,     0.312,     0.261,     0.276,     0.068,     0.293,     0.232,     0.180,     0.323,     0.298,     0.239,     0.362,     0.157,     0.435,     0.326,     0.210,     0.418,     0.398,     0.363,     0.303,     0.322,     0.049,     0.143,     0.098,     0.305,     0.392,     0.255,     0.174,     0.109,     0.135,     0.056,     0.207,     0.209
UP ,     3.773,     2.642,     1.344,     0.792,     0.333,     0.203,     0.529,     0.160,     0.209,     0.064,     0.039,     0.078,     0.133,     0.111,     0.059,     0.097,     0.203,     0.364,     0.404,     0.229,     0.170,     0.275,     0.075,     0.071,     0.227,     0.159,     0.186,     0.092,     0.025,     0.013,     0.088,     0.142,     0.193,     0.252,     0.110,     0.195,     0.068,     0.111,     0.140,     0.151,     0.093,     0.128,     0.014,     0.025,     0.225,     0.121,     0.354,     0.282,     0.222,     0.280,     0.248,     0.456,     0.230,     0.286,     0.339,     0.370,     0.398,     0.156,     0.335,     0.137,     0.345,     0.472,     0.336,     0.334,     0.323,     0.167,     0.325,     0.081,     0.217,     0.266,     0.191,     0.189,     0.151,     0.129
UP ,     4.062,     2.403,     1.656,     0.913,     0.347,     0.129,     0.320,     0.359,     0.297,     0.093,     0.125,     0.041,     0.156,     0.088,     0.239,     0.248,     0.202,     0.093,     0.120,     0.121,     0.226,     0.316,     0.021,     0.195,     0.106,     0.258,     0.078,     0.121,     0.198,     0.130,     0.180,     0.060,     0.031,     0.111,     0.098,     0.049,     0.155,     0.065,     0.087,     0.100,     0.245,     0.276,     0.234,     0.239,     0.252,     0.328,     0.317,     0.062,     0.245,     0.196,     0.378,     0.095,     0.098,     0.077,     0.022,     0.097,     0.108,     0.234,     0.150,     0.123,     0.073,     0.016,     0.186,     0.215,     0.066,     0.127,     0.235,     0.277,     0.127,     0.124,     0.086,     0.264,     0.359,     0.327
UP ,     2.618,     0.196,     0.728,     1.662,     0.816,     0.390,     0.782,     0.546,     0.591,     0.334,     0.579,     0.197,     0.237,     0.124,     0.247,     0.063,     0.199,     0.037,     0.186,     0.518,     0.121,     0.422,     0.202,     0.236,     0.293,     0.186,     0.343,     0.210,     0.367,     0.141,     0.234,     0.312,     0.067,     0.279,     0.078,     0.212,     0.158,     0.294,     0.420,     0.434,     0.372,     0.362,     0.235,     0.368,     0.326,     0.286,     0.345,     0.201,     0.278,     0.398,     0.356,     0.189,     0.256,     0.193,     0.025,     0.209,     0.178,     0.310,     0.243,     0.094,     0.133,     0.169,     0.114,     0.127,     0.166,     0.270,     0.319,     0.242,     0.222,     0.259,     0.258,     0.156,     0.132,     0.086
UP ,     2.185,     1.851,     1.683,     0.616,     0.274,     0.706,     0.335,     0.301,     0.239,     0.105,     0.338,     0.477,     0.461,     0.037,     0.188,     0.241,     0.276,     0.334,     0.248,     0.220,     0.584,     0.404,     0.302,     0.175,     0.109,     0.243,     0.225,     0.159,     0.217,     0.052,     0.241,     0.306,     0.321,     0.064,     0.255,     0.318,     0.154,     0.184,     0.237,     0.103,     0.356,     0.318,     0.298,     0.424,     0.434,     0.537,     0.355,     0.315,     0.184,     0.164,     0.110,     0.209,     0.197,     0.092,     0.176,     0.036,     0.082,     0.192,     0.112,     0.114,     0.125,     0.063,     0.207,     0.160,     0.131,     0.119,     0.190,     0.053,     0.155,     0.111,     0.255,     0.208,     0.090,     0.093
UP ,     2.126,     1.975,     1.870,     0.809,     0.431,     0.851,     1.180,     0.730,     0.350,     0.507,     0.415,     0.426,     0.326,     0.298,     0.295,     0.259,     0.308,     0.464,     0.513,     0.318,     0.415,     0.398,     0.342,     0.288,     0.307,     0.205,     0.188,     0.258,     0.228,     0.081,     0.119,     0.171,     0.085,     0.218,     0.351,     0.316,     0.294,     0.156,     0.252,     0.336,     0.336,     0.364,     0.413,     0.464,     0.177,     0.089,     0.236,     0.327,     0.093,     0.162,     0.182,     0.183,     0.125,     0.004,     0.122,     0.130,     0.169,     0.182,     0.088,     0.252,     0.252,     0.288,     0.099,     0.229,     0.150,     0.243,     0.078,     0.029,     0.082,     0.045,     0.214,     0.189,     0.071,     0.083
UP ,     1.853,     1.081,     1.263,     1.223,     0.778,     0.516,     0.712,     0.250,     0.321,     0.307,     0.130,     0.275,     0.385,     0.165,     0.167,     0.224,     0.363,     0.258,     0.093,     0.277,     0.201,     0.288,     0.217,     0.423,     0.301,     0.213,     0.147,     0.171,     0.164,     0.154,     0.268,     0.173,     0.130,     0.223,     0.179,     0.225,     0.150,     0.270,     0.237,     0.183,     0.229,     0.106,     0.301,     0.376,     0.315,     0.252,     0.285,     0.163,     0.067,     0.127,     0.144,     0.303,     0.143,     0.264,     0.299,     0.128,     0.149,     0.276,     0.377,     0.160,     0.115,     0.136,     0.172,     0.330,     0.251,     0.095,     0.093,     0.078,     0.090,     0.107,     0.139,     0.086,     0.151,     0.083
