@RELATION UP_DOWN
@ATTRIBUTE  class {UP,DOWN}
@ATTRIBUTE 0.0 numeric
@ATTRIBUTE 6.75675675676 numeric
@ATTRIBUTE 13.5135135135 numeric
@ATTRIBUTE 20.2702702703 numeric
@ATTRIBUTE 27.027027027 numeric
@ATTRIBUTE 33.7837837838 numeric
@ATTRIBUTE 40.5405405405 numeric
@ATTRIBUTE 47.2972972973 numeric
@ATTRIBUTE 54.0540540541 numeric
@ATTRIBUTE 60.8108108108 numeric
@ATTRIBUTE 67.5675675676 numeric
@ATTRIBUTE 74.3243243243 numeric
@ATTRIBUTE 81.0810810811 numeric
@ATTRIBUTE 87.8378378378 numeric
@ATTRIBUTE 94.5945945946 numeric
@ATTRIBUTE 101.351351351 numeric
@ATTRIBUTE 108.108108108 numeric
@ATTRIBUTE 114.864864865 numeric
@ATTRIBUTE 121.621621622 numeric
@ATTRIBUTE 128.378378378 numeric
@ATTRIBUTE 135.135135135 numeric
@ATTRIBUTE 141.891891892 numeric
@ATTRIBUTE 148.648648649 numeric
@ATTRIBUTE 155.405405405 numeric
@ATTRIBUTE 162.162162162 numeric
@ATTRIBUTE 168.918918919 numeric
@ATTRIBUTE 175.675675676 numeric
@ATTRIBUTE 182.432432432 numeric
@ATTRIBUTE 189.189189189 numeric
@ATTRIBUTE 195.945945946 numeric
@ATTRIBUTE 202.702702703 numeric
@ATTRIBUTE 209.459459459 numeric
@ATTRIBUTE 216.216216216 numeric
@ATTRIBUTE 222.972972973 numeric
@ATTRIBUTE 229.72972973 numeric
@ATTRIBUTE 236.486486486 numeric
@ATTRIBUTE 243.243243243 numeric
@ATTRIBUTE 250.0 numeric
@ATTRIBUTE 256.756756757 numeric
@ATTRIBUTE 263.513513514 numeric
@ATTRIBUTE 270.27027027 numeric
@ATTRIBUTE 277.027027027 numeric
@ATTRIBUTE 283.783783784 numeric
@ATTRIBUTE 290.540540541 numeric
@ATTRIBUTE 297.297297297 numeric
@ATTRIBUTE 304.054054054 numeric
@ATTRIBUTE 310.810810811 numeric
@ATTRIBUTE 317.567567568 numeric
@ATTRIBUTE 324.324324324 numeric
@ATTRIBUTE 331.081081081 numeric
@ATTRIBUTE 337.837837838 numeric
@ATTRIBUTE 344.594594595 numeric
@ATTRIBUTE 351.351351351 numeric
@ATTRIBUTE 358.108108108 numeric
@ATTRIBUTE 364.864864865 numeric
@ATTRIBUTE 371.621621622 numeric
@ATTRIBUTE 378.378378378 numeric
@ATTRIBUTE 385.135135135 numeric
@ATTRIBUTE 391.891891892 numeric
@ATTRIBUTE 398.648648649 numeric
@ATTRIBUTE 405.405405405 numeric
@ATTRIBUTE 412.162162162 numeric
@ATTRIBUTE 418.918918919 numeric
@ATTRIBUTE 425.675675676 numeric
@ATTRIBUTE 432.432432432 numeric
@ATTRIBUTE 439.189189189 numeric
@ATTRIBUTE 445.945945946 numeric
@ATTRIBUTE 452.702702703 numeric
@ATTRIBUTE 459.459459459 numeric
@ATTRIBUTE 466.216216216 numeric
@ATTRIBUTE 472.972972973 numeric
@ATTRIBUTE 479.72972973 numeric
@ATTRIBUTE 486.486486486 numeric
@ATTRIBUTE 493.243243243 numeric
@DATA
UP ,     4.829,     6.858,     5.164,     3.129,     2.308,     1.903,     1.682,     1.411,     1.383,     1.017,     0.718,     0.922,     1.089,     0.780,     0.490,     0.408,     0.258,     0.149,     0.117,     0.176,     0.139,     0.045,     0.238,     0.191,     0.205,     0.170,     0.293,     0.228,     0.319,     0.430,     0.406,     0.190,     0.257,     0.314,     0.185,     0.173,     0.304,     0.149,     0.208,     0.127,     0.251,     0.328,     0.127,     0.188,     0.059,     0.102,     0.074,     0.058,     0.042,     0.162,     0.078,     0.071,     0.200,     0.201,     0.173,     0.166,     0.109,     0.044,     0.090,     0.046,     0.089,     0.180,     0.090,     0.107,     0.044,     0.060,     0.021,     0.037,     0.026,     0.057,     0.024,     0.145,     0.249,     0.231
UP ,     4.858,     1.061,     3.242,     4.169,     2.494,     1.038,     1.497,     1.712,     1.260,     0.752,     0.582,     0.367,     0.044,     0.704,     0.532,     0.336,     0.312,     0.330,     0.206,     0.262,     0.460,     0.306,     0.346,     0.395,     0.141,     0.192,     0.290,     0.182,     0.205,     0.282,     0.019,     0.189,     0.141,     0.080,     0.098,     0.035,     0.105,     0.237,     0.091,     0.086,     0.195,     0.053,     0.077,     0.043,     0.121,     0.146,     0.160,     0.016,     0.202,     0.122,     0.078,     0.152,     0.103,     0.028,     0.132,     0.176,     0.090,     0.134,     0.227,     0.117,     0.178,     0.233,     0.087,     0.114,     0.065,     0.087,     0.154,     0.076,     0.184,     0.072,     0.148,     0.192,     0.066,     0.062
UP ,     4.505,     4.884,     2.780,     1.705,     0.874,     1.171,     1.248,     1.484,     1.275,     1.020,     0.959,     1.175,     1.294,     1.352,     0.586,     0.177,     0.020,     0.564,     0.115,     0.227,     0.104,     0.396,     0.426,     0.136,     0.268,     0.312,     0.117,     0.077,     0.226,     0.063,     0.180,     0.032,     0.053,     0.104,     0.099,     0.085,     0.032,     0.044,     0.125,     0.021,     0.104,     0.200,     0.214,     0.184,     0.251,     0.063,     0.137,     0.112,     0.125,     0.157,     0.022,     0.055,     0.160,     0.198,     0.227,     0.164,     0.120,     0.202,     0.150,     0.134,     0.096,     0.056,     0.159,     0.187,     0.193,     0.082,     0.130,     0.129,     0.114,     0.075,     0.096,     0.088,     0.198,     0.139
UP ,     2.920,     3.864,     1.855,     0.302,     1.932,     2.396,     2.229,     1.943,     1.414,     1.306,     1.615,     1.451,     1.072,     0.456,     0.276,     0.172,     0.380,     0.335,     0.261,     0.209,     0.191,     0.127,     0.288,     0.198,     0.279,     0.086,     0.120,     0.115,     0.127,     0.030,     0.079,     0.072,     0.126,     0.109,     0.083,     0.118,     0.087,     0.037,     0.172,     0.015,     0.185,     0.052,     0.061,     0.046,     0.078,     0.159,     0.116,     0.049,     0.142,     0.151,     0.243,     0.099,     0.189,     0.105,     0.246,     0.070,     0.066,     0.112,     0.085,     0.196,     0.143,     0.204,     0.088,     0.031,     0.112,     0.088,     0.082,     0.102,     0.163,     0.180,     0.212,     0.144,     0.136,     0.076
UP ,     3.694,     4.002,     2.108,     0.939,     1.249,     1.267,     0.804,     1.810,     1.239,     0.390,     0.760,     1.076,     0.834,     0.292,     0.065,     0.470,     0.426,     0.225,     0.216,     0.196,     0.306,     0.162,     0.117,     0.280,     0.276,     0.108,     0.265,     0.123,     0.206,     0.048,     0.144,     0.195,     0.051,     0.067,     0.179,     0.034,     0.231,     0.078,     0.030,     0.148,     0.116,     0.094,     0.088,     0.102,     0.129,     0.333,     0.222,     0.278,     0.296,     0.157,     0.309,     0.387,     0.327,     0.233,     0.071,     0.144,     0.103,     0.175,     0.149,     0.204,     0.040,     0.007,     0.127,     0.078,     0.201,     0.076,     0.182,     0.176,     0.180,     0.090,     0.084,     0.105,     0.096,     0.086
UP ,     3.810,     3.802,     1.894,     1.474,     0.954,     1.050,     1.268,     1.577,     0.830,     0.089,     0.648,     1.179,     0.920,     0.525,     0.377,     0.165,     0.309,     0.068,     0.194,     0.082,     0.308,     0.093,     0.126,     0.292,     0.173,     0.288,     0.216,     0.055,     0.049,     0.162,     0.197,     0.174,     0.104,     0.122,     0.274,     0.187,     0.145,     0.021,     0.017,     0.102,     0.090,     0.137,     0.127,     0.110,     0.202,     0.140,     0.262,     0.232,     0.256,     0.106,     0.186,     0.143,     0.153,     0.068,     0.197,     0.148,     0.210,     0.132,     0.041,     0.089,     0.077,     0.099,     0.219,     0.082,     0.196,     0.112,     0.270,     0.266,     0.071,     0.167,     0.075,     0.143,     0.049,     0.021
UP ,     1.542,     1.421,     1.800,     1.713,     0.531,     0.078,     0.485,     0.317,     0.590,     0.900,     0.820,     0.660,     0.495,     0.368,     0.318,     0.406,     0.246,     0.203,     0.368,     0.195,     0.165,     0.097,     0.115,     0.160,     0.220,     0.161,     0.067,     0.344,     0.222,     0.237,     0.124,     0.136,     0.242,     0.109,     0.122,     0.025,     0.042,     0.123,     0.282,     0.279,     0.176,     0.217,     0.307,     0.298,     0.437,     0.528,     0.423,     0.305,     0.199,     0.040,     0.155,     0.160,     0.166,     0.242,     0.142,     0.165,     0.098,     0.178,     0.130,     0.121,     0.139,     0.173,     0.122,     0.147,     0.159,     0.146,     0.333,     0.419,     0.171,     0.134,     0.078,     0.084,     0.061,     0.095
UP ,     2.194,     2.223,     2.140,     1.453,     1.280,     0.516,     0.294,     0.337,     0.489,     0.142,     0.246,     0.123,     0.126,     0.023,     0.129,     0.235,     0.190,     0.323,     0.237,     0.142,     0.028,     0.058,     0.209,     0.185,     0.276,     0.086,     0.210,     0.109,     0.074,     0.095,     0.054,     0.077,     0.038,     0.071,     0.131,     0.161,     0.159,     0.217,     0.189,     0.140,     0.172,     0.082,     0.049,     0.195,     0.107,     0.240,     0.286,     0.267,     0.170,     0.058,     0.143,     0.100,     0.118,     0.076,     0.242,     0.082,     0.095,     0.172,     0.078,     0.116,     0.172,     0.207,     0.288,     0.188,     0.150,     0.192,     0.218,     0.092,     0.101,     0.129,     0.125,     0.081,     0.094,     0.037
UP ,     1.989,     1.481,     0.344,     0.807,     0.709,     0.462,     0.411,     0.526,     0.372,     0.078,     0.487,     0.480,     0.439,     0.194,     0.422,     0.258,     0.244,     0.296,     0.253,     0.289,     0.246,     0.175,     0.152,     0.240,     0.081,     0.125,     0.149,     0.270,     0.075,     0.126,     0.015,     0.104,     0.069,     0.117,     0.215,     0.139,     0.254,     0.203,     0.278,     0.396,     0.169,     0.280,     0.147,     0.186,     0.087,     0.268,     0.351,     0.326,     0.315,     0.363,     0.376,     0.032,     0.078,     0.373,     0.262,     0.124,     0.271,     0.251,     0.216,     0.170,     0.211,     0.219,     0.252,     0.145,     0.236,     0.063,     0.125,     0.197,     0.450,     0.421,     0.169,     0.448,     0.395,     0.173
UP ,     4.374,     2.676,     1.634,     1.043,     0.458,     0.488,     0.785,     0.570,     0.340,     0.241,     0.277,     0.192,     0.140,     0.165,     0.265,     0.349,     0.299,     0.252,     0.081,     0.062,     0.197,     0.124,     0.071,     0.200,     0.074,     0.106,     0.065,     0.234,     0.104,     0.164,     0.093,     0.077,     0.125,     0.150,     0.201,     0.215,     0.053,     0.102,     0.099,     0.138,     0.151,     0.173,     0.285,     0.096,     0.194,     0.140,     0.175,     0.421,     0.259,     0.358,     0.472,     0.267,     0.417,     0.185,     0.259,     0.198,     0.202,     0.225,     0.052,     0.239,     0.114,     0.072,     0.133,     0.229,     0.287,     0.257,     0.252,     0.175,     0.158,     0.115,     0.121,     0.218,     0.277,     0.287
